TAG,shipname,definition,hull,version_name,pride_of_the_fleet,location,task_force_name,naval_base,fleet_name
KAM,Yamashiro,battle_carrier,ship_hull_battle_carrier_1,Huso Class,,13545,Dai 1 Sentai,13545,Jyoubi Kantai
KAM,Ise,battle_carrier,ship_hull_battle_carrier_1,Ise Class,,13545,Dai 1 Sentai,13545,Jyoubi Kantai
KAM,Hyuga,battle_carrier,ship_hull_battle_carrier_1,Ise Class,,13545,Dai 1 Sentai,13545,Jyoubi Kantai
KAM,Huji,battleship,ship_hull_pre_dreadnought_0,Huji Class,,13545,Dai 2 Sentai,13545,Jyoubi Kantai
KAM,Shikishima,battle_carrier,ship_hull_pd_battle_carrier,Shikishima Class,,13545,Dai 2 Sentai,13545,Jyoubi Kantai
KAM,Asahi,battle_carrier,ship_hull_pd_battle_carrier,Shikishima Class,,13545,Dai 2 Sentai,13545,Jyoubi Kantai
KAM,Yakumo,cruiser_carrier,ship_hull_cruiser_armored_cruiser_carrier,Kasuga Class,,4728,Dai 3 Sentai,13545,Jyoubi Kantai
KAM,Izumo,cruiser_carrier,ship_hull_cruiser_armored_cruiser_carrier,Kasuga Class,,4728,Dai 3 Sentai,13545,Jyoubi Kantai
KAM,Iwate,cruiser_carrier,ship_hull_cruiser_armored_cruiser_carrier,Kasuga Class,,4728,Dai 3 Sentai,13545,Jyoubi Kantai
KAM,Kasuga,cruiser_carrier,ship_hull_cruiser_armored_cruiser_carrier,Kasuga Class,,4728,Dai 3 Sentai,13545,Jyoubi Kantai
KAM,Asama,cruiser_carrier,ship_hull_cruiser_armored_cruiser_carrier,Kasuga Class,,4728,Dai 3 Sentai,13545,Jyoubi Kantai
KAM,Tokiwa,cruiser_carrier,ship_hull_cruiser_armored_cruiser_carrier,Kasuga Class,,4728,Dai 3 Sentai,13545,Jyoubi Kantai
KAM,Oodomari,light_cruiser,ship_hull_cruiser_0_transport_remodeling,Oodomari Class,,4728,Dai 3 Sentai,13545,Jyoubi Kantai
KAM,Jyunyo,light_carrier,ship_hull_carrier_conversion_mc,Jyunyo Class,,13067,Dai 4 Sentai,13545,Jyoubi Kantai
KAM,Hiyo,light_carrier,ship_hull_carrier_conversion_mc,Jyunyo Class,,13067,Dai 4 Sentai,13545,Jyoubi Kantai
KAM,Housyo,carrier,ship_hull_carrier_0,Housyo Class,,13067,Dai 4 Sentai,13545,Jyoubi Kantai
KAM,Ryuho,light_carrier,ship_hull_carrier_conversion_tp,Ryuuhou Class,,13067,Dai 4 Sentai,13545,Jyoubi Kantai
KAM,Chitose,light_cruiser,ship_hull_cruiser_3,Chiyoda Class,,13067,Dai 4 Sentai,13545,Jyoubi Kantai
KAM,Michishio,destroyer,ship_hull_light_2,Asashio Class,,13067,Dai 4 Sentai,13545,Jyoubi Kantai
KAM,Asagumo,destroyer,ship_hull_light_2,Asashio Class,,13067,Dai 4 Sentai,13545,Jyoubi Kantai
KAM,Yamagumo,destroyer,ship_hull_light_2,Asashio Class,,13067,Dai 4 Sentai,13545,Jyoubi Kantai
KAM,Yamashiomaru,light_carrier,ship_hull_carrier_conversion_mc,Yamashiomaru Class,,12207,Dai 5 Sentai,13545,Jyoubi Kantai
KAM,Umishiomaru,light_carrier,ship_hull_carrier_conversion_mc,Yamashiomaru Class,,12207,Dai 5 Sentai,13545,Jyoubi Kantai
KAM,Chiyoda,light_cruiser,ship_hull_cruiser_3,Chiyoda Class,,12207,Dai 5 Sentai,13545,Jyoubi Kantai
KAM,Akatsuki,destroyer,ship_hull_light_2,Hubuki Class,,12207,Dai 5 Sentai,13545,Jyoubi Kantai
KAM,Hibiki,destroyer,ship_hull_light_2,Hubuki Class,,12207,Dai 5 Sentai,13545,Jyoubi Kantai
KAM,Ikaduti,destroyer,ship_hull_light_2,Hubuki Class,,12207,Dai 5 Sentai,13545,Jyoubi Kantai
KAM,Inaduma,destroyer,ship_hull_light_2,Hubuki Class,,12207,Dai 5 Sentai,13545,Jyoubi Kantai
KAM,Kashihara,light_cruiser,ship_hull_cruiser_3,Kashihara Class,,13553,Dai 6 Sentai,13545,Jyoubi Kantai
KAM,Shiranui,destroyer,ship_hull_light_3,Kagerou Class,,13553,Dai 6 Sentai,13545,Jyoubi Kantai
KAM,Yukikaze,destroyer,ship_hull_light_3,Kagerou Class,,13553,Dai 6 Sentai,13545,Jyoubi Kantai
KAM,Amatsukaze,destroyer,ship_hull_light_3,Kagerou Class,,13553,Dai 6 Sentai,13545,Jyoubi Kantai
KAM,Urakaze,destroyer,ship_hull_light_3,Kagerou Class,,13553,Dai 6 Sentai,13545,Jyoubi Kantai
KAM,Isokaze,destroyer,ship_hull_light_3,Kagerou Class,,13553,Dai 6 Sentai,13545,Jyoubi Kantai
KAM,Hamakaze,destroyer,ship_hull_light_3,Kagerou Class,,13553,Dai 6 Sentai,13545,Jyoubi Kantai
KAM,Hinomae,light_cruiser,ship_hull_cruiser_4,Atsuta Class,,13545,Dai 7 Sentai,13545,Jyoubi Kantai
KAM,Tanikaze,destroyer,ship_hull_light_3,Kagerou Class,,13545,Dai 7 Sentai,13545,Jyoubi Kantai
KAM,Nowaki,destroyer,ship_hull_light_3,Kagerou Class,,13545,Dai 7 Sentai,13545,Jyoubi Kantai
KAM,Akigumo,destroyer,ship_hull_light_3,Kagerou Class,,13545,Dai 7 Sentai,13545,Jyoubi Kantai
KAM,Ukuru,frigate,ship_hull_frigate_2,Ukuru Class,,13545,Dai 7 Sentai,13545,Jyoubi Kantai
KAM,Okinawa,frigate,ship_hull_frigate_2,Ukuru Class,,13545,Dai 7 Sentai,13545,Jyoubi Kantai
KAM,Amami,frigate,ship_hull_frigate_2,Ukuru Class,,13545,Dai 7 Sentai,13545,Jyoubi Kantai
KAM,Kunashiri,light_cruiser,ship_hull_cruiser_4,Kasado Class,,4728,Dai 8 Sentai,13545,Jyoubi Kantai
KAM,Jingei,light_cruiser,ship_hull_cruiser_1,Jingei Class,,4728,Dai 8 Sentai,13545,Jyoubi Kantai
KAM,Tyougei,light_cruiser,ship_hull_cruiser_1,Jingei Class,,4728,Dai 8 Sentai,13545,Jyoubi Kantai
KAM,Hakugei,light_cruiser,ship_hull_cruiser_2,Hakugei Class,,4728,Dai 8 Sentai,13545,Jyoubi Kantai
KAM,Kokugei,light_cruiser,ship_hull_cruiser_2,Hakugei Class,,4728,Dai 8 Sentai,13545,Jyoubi Kantai
KAM,Soya,cruiser_carrier,ship_hull_cruiser_carrier_0,Souya Class,,4728,Dai 8 Sentai,13545,Jyoubi Kantai
KAM,Suzunami,destroyer,ship_hull_light_2,Suzunami Class,,4728,Dai 8 Sentai,13545,Jyoubi Kantai
KAM,Sazanami,destroyer,ship_hull_light_2,Suzunami Class,,4728,Dai 8 Sentai,13545,Jyoubi Kantai
KAM,Ro go Dai 35 Sensuikan,submarine,ship_hull_submarine_2,Kai Tyu VII Class,,4728,Dai 9 Sentai,13545,Jyoubi Kantai
KAM,Ro go Dai 36 Sensuikan,submarine,ship_hull_submarine_2,Kai Tyu VII Class,,4728,Dai 9 Sentai,13545,Jyoubi Kantai
KAM,Ro go Dai 37 Sensuikan,submarine,ship_hull_submarine_2,Kai Tyu VII Class,,4728,Dai 9 Sentai,13545,Jyoubi Kantai
KAM,Ro go Dai 38 Sensuikan,submarine,ship_hull_submarine_2,Kai Tyu VII Class,,4728,Dai 9 Sentai,13545,Jyoubi Kantai
KAM,Ro go Dai 39 Sensuikan,submarine,ship_hull_submarine_2,Kai Tyu VII Class,,13545,Dai 10 Sentai,13545,Jyoubi Kantai
KAM,Ro go Dai 40 Sensuikan,submarine,ship_hull_submarine_2,Kai Tyu VII Class,,13545,Dai 10 Sentai,13545,Jyoubi Kantai
KAM,Ro go Dai 41 Sensuikan,submarine,ship_hull_submarine_2,Kai Tyu VII Class,,13545,Dai 10 Sentai,13545,Jyoubi Kantai
KAM,Ro go Dai 42 Sensuikan,submarine,ship_hull_submarine_2,Kai Tyu VII Class,,13545,Dai 10 Sentai,13545,Jyoubi Kantai
NGU,Kumotori,battleship,ship_hull_heavy_2,Kumotori Class,yes,12237,Dai 101 Sentai,12237,Tokubetsu Nanken Kantai
NGU,Suisyou,battleship,ship_hull_heavy_2,Kumotori Class,yes,12237,Dai 101 Sentai,12237,Tokubetsu Nanken Kantai
NGU,Inaba,heavy_cruiser,ship_hull_cruiser_coastal_defense_ship_2,Inaba Class,yes,12237,Dai 101 Sentai,12237,Tokubetsu Nanken Kantai
NGU,Aki,heavy_cruiser,ship_hull_cruiser_coastal_defense_ship_2,Inaba Class,yes,12237,Dai 101 Sentai,12237,Tokubetsu Nanken Kantai
NGU,Takao,heavy_cruiser,ship_hull_cruiser_2,Takao Class,,12237,Dai 102 Sentai,12237,Tokubetsu Nanken Kantai
NGU,Atago,heavy_cruiser,ship_hull_cruiser_2,Takao Class,,12237,Dai 102 Sentai,12237,Tokubetsu Nanken Kantai
NGU,Cyokai,heavy_cruiser,ship_hull_cruiser_2,Takao Class,,12237,Dai 102 Sentai,12237,Tokubetsu Nanken Kantai
NGU,Maya,heavy_cruiser,ship_hull_cruiser_2,Takao Class,,12237,Dai 102 Sentai,12237,Tokubetsu Nanken Kantai
NGU,Unryu,carrier,ship_hull_carrier_1,Unryu Class,,12237,Dai 101 Kouku Sentai,12237,Tokubetsu Nanken Kantai
NGU,Ooyodo,light_cruiser,ship_hull_cruiser_3,Ooyodo Class,,12237,Dai 101 Kouku Sentai,12237,Tokubetsu Nanken Kantai
NGU,Niyodo,light_cruiser,ship_hull_cruiser_3,Ooyodo Class,,12237,Dai 101 Kouku Sentai,12237,Tokubetsu Nanken Kantai
NGU,Yugumo,destroyer,ship_hull_light_3,Yugumo Class,,12237,Dai 101 Kouku Sentai,12237,Tokubetsu Nanken Kantai
NGU,Kazakumo,destroyer,ship_hull_light_3,Yugumo Class,,12237,Dai 101 Kouku Sentai,12237,Tokubetsu Nanken Kantai
NGU,Naganami,destroyer,ship_hull_light_3,Yugumo Class,,12237,Dai 101 Kouku Sentai,12237,Tokubetsu Nanken Kantai
NGU,Tamanami,destroyer,ship_hull_light_3,Yugumo Class,,12237,Dai 101 Kouku Sentai,12237,Tokubetsu Nanken Kantai
NGU,Nashi,destroyer,ship_hull_light_2,Matsu Class,,12237,Dai 101 Suirai Sentai,12237,Tokubetsu Nanken Kantai
NGU,Kurumi,destroyer,ship_hull_light_2,Matsu Class,,12237,Dai 101 Suirai Sentai,12237,Tokubetsu Nanken Kantai
NGU,Hujinami,destroyer,ship_hull_light_3,Yugumo Class,,12237,Dai 101 Suirai Sentai,12237,Tokubetsu Nanken Kantai
NGU,Hayanami,destroyer,ship_hull_light_3,Yugumo Class,,12237,Dai 101 Suirai Sentai,12237,Tokubetsu Nanken Kantai
NGU,Hamanami,destroyer,ship_hull_light_3,Yugumo Class,,12237,Dai 101 Suirai Sentai,12237,Tokubetsu Nanken Kantai
NGU,Yanagi,destroyer,ship_hull_light_2,Matsu Class,,12237,Dai 102 Suirai Sentai,12237,Tokubetsu Nanken Kantai
NGU,Wakatake,destroyer,ship_hull_light_2,Matsu Class,,12237,Dai 102 Suirai Sentai,12237,Tokubetsu Nanken Kantai
NGU,Okinami,destroyer,ship_hull_light_3,Yugumo Class,,12237,Dai 102 Suirai Sentai,12237,Tokubetsu Nanken Kantai
NGU,Kishinami,destroyer,ship_hull_light_3,Yugumo Class,,12237,Dai 102 Suirai Sentai,12237,Tokubetsu Nanken Kantai
NGU,Asashimo,destroyer,ship_hull_light_3,Yugumo Class,,12237,Dai 102 Suirai Sentai,12237,Tokubetsu Nanken Kantai
NGU,I-30,submarine,ship_hull_cruiser_submarine,Jyun Sen Otsu Class,,12237,Dai 101 Sensui Sentai,12237,Tokubetsu Nanken Kantai
NGU,I-31,submarine,ship_hull_cruiser_submarine,Jyun Sen Otsu Class,,12237,Dai 101 Sensui Sentai,12237,Tokubetsu Nanken Kantai
NGU,I-32,submarine,ship_hull_cruiser_submarine,Jyun Sen Otsu Class,,12237,Dai 101 Sensui Sentai,12237,Tokubetsu Nanken Kantai
NGU,I-33,submarine,ship_hull_cruiser_submarine,Jyun Sen Otsu Class,,12237,Dai 101 Sensui Sentai,12237,Tokubetsu Nanken Kantai
NGU,I-34,submarine,ship_hull_cruiser_submarine,Jyun Sen Otsu Class,,12237,Dai 101 Sensui Sentai,12237,Tokubetsu Nanken Kantai
NGU,I-35,submarine,ship_hull_cruiser_submarine,Jyun Sen Otsu Class,,12237,Dai 102 Sensui Sentai,12237,Tokubetsu Nanken Kantai
NGU,I-36,submarine,ship_hull_cruiser_submarine,Jyun Sen Otsu Class,,12237,Dai 102 Sensui Sentai,12237,Tokubetsu Nanken Kantai
NGU,I-37,submarine,ship_hull_cruiser_submarine,Jyun Sen Otsu Class,,12237,Dai 102 Sensui Sentai,12237,Tokubetsu Nanken Kantai
NGU,I-38,submarine,ship_hull_cruiser_submarine,Jyun Sen Otsu Class,,12237,Dai 102 Sensui Sentai,12237,Tokubetsu Nanken Kantai
NGU,I-39,submarine,ship_hull_cruiser_submarine,Jyun Sen Otsu Class,,12237,Dai 102 Sensui Sentai,12237,Tokubetsu Nanken Kantai
NGU,Ukuru,frigate,ship_hull_frigate_2,Ukuru Class,,12237,Dai 101 Syokai Sentai,12237,Tokubetsu Nanken Kantai
NGU,Okinawa,frigate,ship_hull_frigate_2,Ukuru Class,,12237,Dai 101 Syokai Sentai,12237,Tokubetsu Nanken Kantai
NGU,Amami,frigate,ship_hull_frigate_2,Ukuru Class,,12237,Dai 101 Syokai Sentai,12237,Tokubetsu Nanken Kantai
NGU,Aguni,frigate,ship_hull_frigate_2,Ukuru Class,,12237,Dai 101 Syokai Sentai,12237,Tokubetsu Nanken Kantai
NGU,Shinnan,frigate,ship_hull_frigate_2,Ukuru Class,,12237,Dai 101 Syokai Sentai,12237,Tokubetsu Nanken Kantai
NGU,Yaku,frigate,ship_hull_frigate_2,Ukuru Class,,12237,Dai 101 Syokai Sentai,12237,Tokubetsu Nanken Kantai
NGU,Chikubu,frigate,ship_hull_frigate_2,Ukuru Class,,12237,Dai 101 Syokai Sentai,12237,Tokubetsu Nanken Kantai
NGU,Kouzu,frigate,ship_hull_frigate_2,Ukuru Class,,12237,Dai 102 Syokai Sentai,12237,Tokubetsu Nanken Kantai
NGU,Hotaka,frigate,ship_hull_frigate_2,Ukuru Class,,12237,Dai 102 Syokai Sentai,12237,Tokubetsu Nanken Kantai
NGU,Ikara,frigate,ship_hull_frigate_2,Ukuru Class,,12237,Dai 102 Syokai Sentai,12237,Tokubetsu Nanken Kantai
NGU,Ikino,frigate,ship_hull_frigate_2,Ukuru Class,,12237,Dai 102 Syokai Sentai,12237,Tokubetsu Nanken Kantai
NGU,Inagi,frigate,ship_hull_frigate_2,Ukuru Class,,12237,Dai 102 Syokai Sentai,12237,Tokubetsu Nanken Kantai
NGU,Habushi,frigate,ship_hull_frigate_2,Ukuru Class,,12237,Dai 102 Syokai Sentai,12237,Tokubetsu Nanken Kantai
NGU,Ojika,frigate,ship_hull_frigate_2,Ukuru Class,,12237,Dai 102 Syokai Sentai,12237,Tokubetsu Nanken Kantai
NGU,Uku,frigate,ship_hull_frigate_2,Ukuru Class,,12237,Dai 102 Syokai Sentai,12237,Tokubetsu Nanken Kantai
CHI,CNS Qi 1,submarine,ship_hull_submarine_1,U-Boot Class IIA,,7014,101 Submarine Fleet,7014,1st Submarine Fleet
CHI,CNS Qi 2,submarine,ship_hull_submarine_1,U-Boot Class IIA,,7014,101 Submarine Fleet,7014,1st Submarine Fleet
CHI,CNS Qi 3,submarine,ship_hull_submarine_1,U-Boot Class IIA,,7014,101 Submarine Fleet,7014,1st Submarine Fleet
CHI,CNS Qi 4,submarine,ship_hull_submarine_1,U-Boot Class IIA,,7014,101 Submarine Fleet,7014,1st Submarine Fleet
CHI,CNS Qi 5,submarine,ship_hull_submarine_1,U-Boot Class IIA,,7014,101 Submarine Fleet,7014,1st Submarine Fleet
CHI,CNS Qi 6,submarine,ship_hull_submarine_2,U-Boot Class VIIB,,7014,102 Submarine Fleet,7014,1st Submarine Fleet
CHI,CNS Qi 7,submarine,ship_hull_submarine_2,U-Boot Class VIIB,,7014,102 Submarine Fleet,7014,1st Submarine Fleet
CHI,CNS Qi 8,submarine,ship_hull_submarine_2,U-Boot Class VIIB,,7014,102 Submarine Fleet,7014,1st Submarine Fleet
CHI,CNS Qi 9,submarine,ship_hull_submarine_2,U-Boot Class VIIB,,7014,102 Submarine Fleet,7014,1st Submarine Fleet
CHI,CNS Qi 10,submarine,ship_hull_submarine_2,U-Boot Class VIIB,,7014,102 Submarine Fleet,7014,1st Submarine Fleet
CHI,CNS Qi 11,submarine,ship_hull_submarine_2,U-Boot Class VIIC,,7014,103 Submarine Fleet,7014,1st Submarine Fleet
CHI,CNS Qi 12,submarine,ship_hull_submarine_2,U-Boot Class VIIC,,7014,103 Submarine Fleet,7014,1st Submarine Fleet
CHI,CNS Qi 13,submarine,ship_hull_submarine_2,U-Boot Class VIIC,,7014,103 Submarine Fleet,7014,1st Submarine Fleet
CHI,CNS Qi 14,submarine,ship_hull_submarine_2,U-Boot Class VIIC/41,,7014,103 Submarine Fleet,7014,1st Submarine Fleet
CHI,CNS Qi 15,submarine,ship_hull_submarine_2,U-Boot Class VIIC/41,,7014,103 Submarine Fleet,7014,1st Submarine Fleet
CHI,CNS Qi 16,submarine,ship_hull_submarine_2,U-Boot Class VIIC/41,,7014,103 Submarine Fleet,7014,1st Submarine Fleet
CHI,CNS Qi 17,submarine,ship_hull_submarine_2,U-Boot Class VIIC/41,,7014,103 Submarine Fleet,7014,1st Submarine Fleet
CHI,CNS Qi 18,submarine,ship_hull_submarine_2,U-Boot Class VIIC/41,,7014,103 Submarine Fleet,7014,1st Submarine Fleet
CHI,CNS Qi 19,submarine,ship_hull_submarine_2,U-Boot Class VIIC/41,,7014,103 Submarine Fleet,7014,1st Submarine Fleet
