TAG,地域,JP
YUG,Eastern Europe,ユーゴスラビア
ALG,Africa,アルジェリア
ANG,Africa,アンゴラ
BOT,Africa,ボツワナ
BRD,Africa,ブルンジ
CAR,Africa,中央アフリカ
CHA,Africa,チャド
CMR,Africa,カメルーン
COG,Africa,コンゴ
DAH,Africa,ダホメ
DJI,Africa,ジブチ
EAF,Africa,東アフリカ
EGY,Africa,エジプト
EQG,Africa,赤道ギニア
ERI,Africa,エリトリア
ETH,Africa,エチオピア
GAB,Africa,ガボン
GAM,Africa,ガンビア
GHA,Africa,ガーナ
GNA,Africa,ギニア
GNB,Africa,ギニアビサウ
IVO,Africa,コートジボワール
KEN,Africa,ケニア
LBA,Africa,リビア
LIB,Africa,リベリア
MAD,Africa,マダガスカル
MCG,Africa,中部コンゴ
MLI,Africa,マリ
MLW,Africa,マラウィ
MOR,Africa,モロッコ
MRT,Africa,モーリタニア
MZB,Africa,モザンビーク
NGA,Africa,ナイジェリア
NGE,Africa,ニジェール
NMB,Africa,ナミビア
ORO,Africa,オロモ
RIF,Africa,リーフ
RWA,Africa,ルワンダ
SEN,Africa,セネガル
SIE,Africa,シエラレオネ
SOM,Africa,ソマリア
SUD,Africa,スーダン
TOG,Africa,トーゴ
TUN,Africa,チュニジア
TZN,Africa,タンザニア
UGA,Africa,ウガンダ
VOL,Africa,オートボルタ
WES,Africa,西サハラ
ZAM,Africa,ザンビア
ZIM,Africa,ジンバブエ
ARG,South America,アルゼンチン
BAH,South America,バハマ
BLZ,South America,ベリーズ
BOL,South America,ボリビア
BRA,South America,ブラジル
CAY,South America,カイエンヌ
CHL,South America,チリ
COL,South America,コロンビア
COS,South America,コスタリカ
CRC,South America,キュラソー
CUB,South America,キューバ
DOM,South America,ドミニカ
ECU,South America,エクアドル
ELS,South America,エルサルバドル
GDL,South America,グアドループ
GUA,South America,グアテマラ
GYA,South America,ガイアナ
HAI,South America,ハイチ
HON,South America,ホンジュラス
JAM,South America,ジャマイカ
MEX,South America,メキシコ
NIC,South America,ニカラグア
PAN,South America,パナマ
PAR,South America,パラグアイ
PRU,South America,ペルー
PUE,South America,プエルトリコ
SUR,South America,スリナム
TRI,South America,トリニダード
URG,South America,ウルグアイ
VEN,South America,ベネズエラ
WIN,South America,西インド諸島
