TAG,地域,JP
NEB,Western Europe,ネブラスカ
NEV,Western Europe,ネバダ
NHN,Western Europe,ニューハンプシャー
NJE,Western Europe,ニュージャージー
NMX,Western Europe,ニューメキシコ
NTL,Western Europe,ネーデルラント
NYR,Western Europe,ニューヨーク
OHO,Western Europe,オハイオ
OKL,Western Europe,オクラホマ
ORE,Western Europe,オレゴン
PEN,Western Europe,ペンシルバニア
POI,Western Europe,ポワトゥー
PRV,Western Europe,プロヴァンス
QEB,Western Europe,ケベック
RIL,Western Europe,ロードアイランド
RMT,Western Europe,ロッキー山脈
SCA,Western Europe,スカンディナヴィア
SCR,Western Europe,サウスカロライナ
SDA,Western Europe,サウスダコタ
SME,Western Europe,サーミランド
SMR,Western Europe,サンマリノ
TEN,Western Europe,テネシー
TEU,Western Europe,チュートン
TEX,Western Europe,テキサス
UTA,Western Europe,ユタ
VAL,Western Europe,バレンシア
VRG,Western Europe,バージニア
VRM,Western Europe,バーモント
WAS,Western Europe,ワシントン
WLL,Western Europe,ワロン
WSC,Western Europe,ウィスコンシン
WVI,Western Europe,ウェストバージニア
WYO,Western Europe,ワイオミング
ADY,Eastern Europe,アディゲ
BLK,Eastern Europe,バルカン
BLT,Eastern Europe,バルト
CCS,Eastern Europe,コーカサス
CHE,Eastern Europe,チェチェン
ING,Eastern Europe,イングーシ
INT,Eastern Europe,インテルマリウム
IST,Eastern Europe,イストリア
KRC,Eastern Europe,カラチャイ
KRV,Eastern Europe,キーロフ
LIV,Eastern Europe,リヴォニア
LMK,Eastern Europe,レムコ
MOS,Eastern Europe,モスクワ
MRD,Eastern Europe,モルドヴィア
ORB,Eastern Europe,オレンブルグ
PAT,Eastern Europe,総主教領
PET,Eastern Europe,ペテルブルク
PRM,Eastern Europe,ペルミ
RTN,Eastern Europe,ルテニア
RUS,Eastern Europe,ロシア
SMA,Eastern Europe,サマラ
SOA,Eastern Europe,南オセチア
TRN,Eastern Europe,トランスニストリア
ULY,Eastern Europe,ウリヤノフスク
URA,Eastern Europe,ウラル
VOJ,Eastern Europe,ヴォイヴォディナ
WLC,Eastern Europe,ワラキア
ZPR,Eastern Europe,ザポロージャ
AFR,Africa,アフリカ
AGL,Africa,アフリカ大湖沼
AZA,Africa,アザワド
BEN,Africa,ベニン
BFR,Africa,ビアフラ
BTL,Africa,バロツェランド
COM,Africa,コモロ
CPV,Africa,カーボベルデ
EQA,Africa,赤道アフリカ
KAT,Africa,カタンガ
KLE,Africa,カレンジン
LSO,Africa,レソト
MAF,Africa,中部アフリカ
MUS,Africa,モーリシャス
MWA,Africa,ムワミ
NAF,Africa,北アフリカ
OUB,Africa,ウバンギ
RMN,Africa,鉱山
SAH,Africa,サハラ
SKS,Africa,南カサイ
SML,Africa,ソマリランド
SSD,Africa,南スーダン
STP,Africa,サントメ・プリンシペ
SWL,Africa,スワジランド
SYC,Africa,セーシェル
TAN,Africa,タンガニーカ
UEL,Africa,ウエレ
WAF,Africa,西アフリカ
ZAN,Africa,ザンジバル
ATG,South America,アンティグア
BRB,South America,バルバドス
CEN,South America,中央アメリカ
DMA,South America,ドミニカ
GRD,South America,グレナダ
KNA,South America,セントクリストファー・ネビス
PCZ,South America,パナマ運河
SAC,South America,南アメリカ
SLC,South America,セントルシア
VCT,South America,セントビンセント・グレナディーン
