Ship,Country or organization,Class,Type,Displacement (tons),First commissioned,Fate,Displacement,Country,YEAR
Lorraine,French Navy  Free French Naval Forces,Bretagne,BB,22200,27 July 1916,Decommissioned 17 February 1953,,,
Los Angeles,USA,Baltimore,CA,17200,22 July 1945,scrapped 1974,,,
Lothringen,GER,,CM,1975,December 1941,sold to merchant service post-war,,,
Lotus,ENG,Flower,K,925,23 May 1942,,,,
Louisburg (I),Royal Canadian Navy,Flower,K,925,2 October 1941,sunk on 6 February 1943 by Luftwaffe aircraft,,,
Louisburg (II),Royal Canadian Navy,Flower modified,K,1015,13 December 1943,25 June 1945,,,
Louisville,USA,Northampton,CA,9200,15 January 1931,scrapped 1959,,,
Loyal,ENG,L,DD,1920,31 October 1942,"constructive loss 12 October 1944, scrapped 1948",,,
Luchs,GER,Raubtier,torpedo boat,1320,15 April 1929,sunk 26 July 1940,,,
Lucknow,Royal Indian Navy,Basset,AM,529,1941–1944,1941–1944,,,
Ludlow,USA,Gleaves,DD,1630,5 March 1941,"to Greece 1951, scrapped 1972",,,
Luigi Cadorna,Regia Marina,Condottieri,CL,5316,11 August 1933,scrapped 1951,,,
Luigi Di Savoia Duca Degli Abruzzi,Regia Marina,Condottieri,CL,9952,1 December 1937,scrapped 1972,,,
Lunenburg,Royal Canadian Navy,Flower,K,925,4 December 1941,paid off 23 July 1945,,,
Lunga Point,USA,Casablanca,CVE,7800,14 May 1944,"decommissioned 24 October 1946, scrapped 1960",,,
Lützow,GER,enlarged Admiral Hipper,CA,14680,not completed,"sold to USSR 1940 became Petropavlovsk, then Tallinn",,,
Macdonough,USA,Farragut,DD,1365,15 March 1935,scrapped 1947,,,
MacKenzie,USA,Benson,DD,1620,21 November 1942,"decommissioned 1946, sunk as target 1974",,,
Macoma,Royal Netherlands Navy,Rapana,merchant aircraft carrier,8000,1 April 1944,transferred to merchant service post-war,,,
Macomb,USA,Gleaves,DD,1630,26 January 1942,"to Japan 1954, to Taiwan 1970, scrapped 1980",,,
Maddox,USA,Gleaves,DD,1630,31 October 1942,sunk 10 July 1943,,,
Madison,USA,Benson,DD,1620,6 August 1940,"decommissioned 1946, sunk as target 1969",,,
Madras,Royal Indian Navy,Bathurst,K,1025,12 May 1942,Decommissioned 1960,,,
Madura,Royal Indian Navy,Basset,AM,529,1941–1944,1941–1944,,,
Magog,Royal Canadian Navy,River,FF,1445,7 May 1944,paid off 20 December 1944,,,
Mahan,USA,Mahan,DD,1450,18 September 1936,sunk 7 December 1944,,,
Mahratta,ENG,M,DD,1920,28 July 1942,sunk 25 February 1944,,,
El Mahrousa,Egyptian Navy,,yacht,3417,1865,,,,
Makassar Strait,USA,Casablanca,CVE,7800,27 April 1944,"decommissioned 9 August 1946, scrapped 1961",,,
Makin Island,USA,Casablanca,CVE,7800,9 May 1944,"decommissioned 19 April 1946, scrapped 1947",,,
Malaya,ENG,Queen Elizabeth,BB,31000,1 February 1916,"decommissioned 1944, scrapped 1948",,,
Mallow,ENG,Flower,K,925,2 July 1940,11 January 1944,,,
Manila Bay,USA,Casablanca,CVE,7800,10 July 1943,"decommissioned 31 July 1946, scrapped 1959",,,
Manligheten,Swedish Navy,Äran,coastal defence ship,3650,,paid off 1950,,,
Mansfield,ENG,Town,DD,1190,23 October 1940,paid off 22 June 1944,,,
Manxman,ENG,Abdiel,CM,2650,20 June 1941,scrapped 1971,,,
Maori,ENG,Tribal,DD,2020,2 January 1939,sunk 12 February 1942,,,
Maplin,ENG,Pegasus,fighter catapult ship,,1932,,,,
Marblehead,USA,Omaha,CL,7050,8 September 1924,scrapped 1946,,,
Marcílio Dias,Brazilian Navy,Marcílio Dias,DD,1500,29 November 1943,Decommissioned 22 August 1972,,,
Marcus Island,USA,Casablanca,CVE,7800,26 January 1944,"decommissioned 12 December 1946, scrapped 1960",,,
Marguerite,ENG,Flower,K,925,20 November 1940,,,,
Marigold,ENG,Flower,K,925,28 February 1941,9 December 1942,,,
Mariz e Barros,Brazilian Navy,Marcilio Dias,DD,1500,29 November 1943,Decommissioned 22 August 1972,,,
Marjoram,ENG,Flower,K,925,,cancelled 23 January 1941,,,
Marne,ENG,M,DD,1920,2 December 1941,scrapped 1970,,,
Marocain,United States Navy  Free French Naval Forces,Cannon,DE,1240,29 February 1944,"to Free French 29 February 1944, decommissioned May 1964",,,
Marseillaise,FRA,La Galissonniere,CL,7600,10 October 1937,scuttled 27 November 1942,,,
Marshal Ney,ENG,Marshal Ney,BM,6700,,scrapped in 1957,,,
Marshal Soult,ENG,Marshal Ney,BM,6700,,scrapped July 1946,,,
Marsuinul,Royal Romanian Navy,Marsuinul,SS,860 submerged,July 1943,"captured by the Soviet Union August 1944, scrapped after the war",,,
Martin,ENG,M,DD,1920,,sunk 10 November 1942,,,
Maryland,USA,Colorado,BB,32600,21 July 1921,"decommissioned 1947, scrapped 1959",,,
Mashona,ENG,Tribal,DD,2020,28 March 1939,sunk 28 May 1941,,,
Mason,USA,Evarts,DE,1140,20 March 1944,Scrapped 1947,,,
Massachusetts,USA,South Dakota,BB,37970,12 May 1942,"Decommissioned 27 March 1947, museum ship",,,
Matabele,ENG,Tribal,DD,2020,25 January 1939,sunk 17 January 1941,,,
Matane,Royal Canadian Navy,River,FF,1445,22 October 1943,paid off 11 February 1946,,,
Matanikau,USA,Casablanca,CVE,7800,22 May 1944,"decommissioned 11 October 1946, scrapped 1960",,,
Matapedia,Royal Canadian Navy,Flower,K,925,9 May 1941,paid off 16 June 1945,,,
Matchless,ENG,M,DD,1920,12 February 1942,"Decommissioned Apr 1946. Sold, Turkish Navy Aug 1957. Scrapped 1971",,,
Maunder,ENG,,Special Service Ship,5072,1919,paid off March 1941,,,
Mauritius,ENG,Fiji,CL,8000,1 January 1941,scrapped 1965,,,
Maury,USA,Gridley,DD,1590,5 August 1938,scrapped 1946,,,
Maxim Gorky,Soviet Navy,Maxim Gorkiy (Project 26 bis),CA,8200,25 October 1940,Decommissioned Feb. 1956,,,
Maya,JPN,Takao,CA,13350,30 June 1932,Sunk 23 October 1944,,,
Mayflower,Royal Navy  Royal Canadian Navy,Flower,K,925,28 November 1940,"to Canada 15 May 1941, paid off 31 May 1945",,,
Mayo,USA,Benson,DD,1620,18 September 1940,"decommissioned 1946, scrapped 1972",,,
Mayrant,USA,Benson,DD,1500,13 September 1939,scuttled after A-bomb test 1948,,,
McCall,USA,Gridley,DD,1590,22 June 1938,scrapped 1947,,,
McCalla,USA,Gleaves,DD,1630,27 May 1942,"to Turkey 1949, scrapped 1973",,,
McCook,USA,Gleaves,DD,1630,15 March 1943,"decommissioned 1949, scrapped 1973",,,
McDougal,USA,Porter,DD,1850,23 December 1936,scrapped 1949,,,
McLanahan,USA,Benson,DD,1620,19 December 1942,"decommissioned 1946, scrapped 1974",,,
Meade,USA,Benson,DD,1620,22 June 1942,"decommissioned 1946, sunk as target 1973",,,
Medway,ENG,,submarine tender,14650,July 1929,sunk 30 June 1942,,,
Melbreak,ENG,Hunt,DE,1050,10 October 1942,paid off and scrapped 1956,,,
Melvin,USA,Fletcher,DD,2050,24 November 1943,"Decommissioned 13 January 1954, scrapped 1975",,,
Memphis,USA,Omaha,CL,7050,17 December 1925,scrapped 1947,,,
Mendip,ENG,Hunt,DE,1000,12 October 1940,"paid off 20 May 1946, scrapped 1972",,,
Mendoza,Argentine Navy,Mendoza,DD,1570,,Discarded 30 April 1962,,,
Meon,Royal Navy  Royal Canadian Navy,River,FF,1445,31 December 1943,"to Canada 7 February 1944, paid off 23 April 1945",,,
Meredith,USA,Gleaves,DD,1630,1 March 1941,sunk 15 October 1942,,,
Mervine,USA,Gleaves,DD,1630,17 June 1942,"decommissioned 1949, scrapped 1969",,,
Meteor,ENG,M,DD,1920,12 August 1942,,,,
Meynell,ENG,Hunt,DE,1050,10 December 1940,scrapped 1978,,,
Miami,USA,Cleveland,CL,11800,28 December 1943,scrapped 1962,,,
Miaoulis,Hellenic Navy,Hunt,DE,1050,25 November 1942,"paid off 1959, scrapped 1960",,,
Michel,GER,,MC,10900,7 September 1941,sunk 17 October 1943,,,
Micmac,Royal Canadian Navy,Tribal,DD,1927,18 September 1945,"built and launched during war, paid off 31 March 1964",,,
Middleton,ENG,Hunt,DE,1050,10 January 1943,scrapped February 1958,,,
Midland,Royal Canadian Navy,Flower,K,925,17 November 1941,paid off 15 July 1945,,,
Might,USA,Flower modified,K,1015,22 December 1942,9 October 1945,,,
Mignonette,ENG,Flower,K,925,7 May 1941,,,,
Mikuma,JPN,Mogami,CA,13440,29 August 1935,Sunk 6 June 1942,,,
Milne,ENG,M,DD,1935,6 August 1942,,,,
Milwaukee,United States Navy  Soviet Navy,Omaha,CL,7050,20 June 1923; to USSR as Murmansk 20 April 1944,scrapped 10 December 1949,,,
Mimico,Royal Canadian Navy,Flower modified,K,1015,8 February 1944,18 July 1945,,,
Mimosa,FRA,Flower,K,925,11 May 1941,9 June 1942,,,
Minas Geraes,Brazilian Navy,Minas Geraes,dreadnought,19200,6 January 1910,Decommissioned 20 September 1953,,,
Minegumo,JPN,Asashio,DD,1961,,,,,
Minneapolis,USA,New Orleans,CA,9950,19 May 1934,"Decommissioned 10 February 1947, scrapped 1959",,,
Miralda,ENG,Rapana,merchant aircraft carrier,16000,January 1944,returned to merchant service post-war; renamed Marisa,,,
Misiones,Argentine Navy,Buenos Aires,DD,1375,,Discarded 3 May 1971,,,
Misoa,ENG,Maracaibo,LST,4193,11 August 1941,paid off March 1945,,,
Mission Bay,USA,Casablanca,CVE,7800,26 May 1943,"decommissioned 21 February 1947, scrapped 1959",,,
Mississippi,USA,New Mexico,BB,32000,25 January 1917,decommissioned 1956 (for scrap),,,
Missouri,USA,Iowa,BB,45000,11 June 1944,decommissioned 1992; museum ship,,,
Mobile,USA,Cleveland,CL,11800,24 March 1943,scrapped 1960,,,
Moffett,USA,Porter,DD,1850,28 August 1936,scrapped 1947,,,
Mogami,JPN,Mogami,CA,12400,1935,Sunk 25 October 1944,,,
Mohawk,ENG,Tribal,DD,2020,7 September 1938,sunk 16 April 1941,,,
Molotov,Soviet Navy,Maxim Gorkiy (Project 26 bis),CA,8200,25 October 1940,decommissioned February 1956,,,
Monaghan,USA,Farragut,DD,1365,18 April 1935,foundered in typhoon 18 December 1944,,,
Moncton,Royal Canadian Navy,Flower,K,925,24 April 1942,paid off 12 December 1945,,,
Monkshood,ENG,Flower,K,925,31 July 1941,,,,
Monnow,Royal Navy  Royal Canadian Navy,River,FF,1445,11 May 1944,"to Canada 3 August 1944, paid off 11 June 1945",,,
Monowai,Royal New Zealand Navy,,armed merchant cruiser,4925,30 August 1940,"Decommissioned 18 June 1943, then landing ship",,,
Monssen,USA,Gleaves,DD,1630,14 March 1941,Sunk13 November 1942,,,
Montbretia,Royal Norwegian Navy,Flower,K,925,29 September 1941,sunk 18 November 1942 by U-262,,,
Montcalm,French Navy  Free French Naval Forces,La Galissonniere,CL,7600,15 November 1937,Decommissioned 1 May 1957,,,
Montclare,ENG,,submarine tender,21550,2 June 1942 (former AMC Montclare),scrapped October 1954,,,
Monterey,USA,Independence,CVL,11000,17 June 1943,"decommissioned 16 January 1956, scrapped 1971",,,
Evans,Royal Navy  Royal Canadian Navy,Town,DD,1247,23 October 1940,"to Canada 1942, paid off 22 June 1944",,,
Montpelier,USA,Cleveland,CL,11800,9 September 1942,scrapped 1960,,,
Montreal,Royal Canadian Navy,River,FF,1445,12 November 1943,paid off 15 October 1945,,,
Montrose,ENG,Admiralty,flotilla leader,1530,14 September 1918,scrapped January 1946,,,
Moose Jaw,Royal Canadian Navy,Flower,K,925,19 June 1941,paid off 8 July 1945,,,
Morava,Royal Yugoslav Navy,Körös,river monitor,448,15 April 1920,scuttled 11 April 1941,,,
Morden,Royal Canadian Navy,Flower,K,925,6 September 1941,paid off 29 June 1945,,,
Moreno,Argentine Navy,Rivadavia,dreadnought,27720,26 February 1915,scrapped February 1956,,,
Morris,USA,Sims,DD,1570,5 March 1940,scrapped 1947,,,
Morrison,USA,Fletcher,DD,"2,050 tons",18 December 1943,"Sunk by kamikazes, 4 May 1945",,,
Möwe,GER,Raubvogel,torpedo boat,1213,1 October 1926,sunk 15 June 1944,,,
Moyola,Royal Navy  Free French Naval Forces,River,FF,1370,15 October 1944,"to France 15 October 1944, Decommissioned 1961",,,
Mugford,USA,Bagley,DD,1500,16 August 1937,scuttled after A-bomb test 1948,,,
Multan,Royal Indian Navy,Basset,AM,529,1941–1944,1941–1944,,,
Munda,USA,Casablanca,CVE,7800,8 July 1944,"decommissioned 26 April 1946, scrapped 1960",,,
Murasame,JPN,Shiratsuyu,DD,1685,7 January 1937,sunk 4 March 1943,,,
Murphy,USA,Benson,DD,1620,25 July 1942,"decommissioned 1946, scrapped 1972",,,
Musashi,JPN,Yamato,BB,68200,5 August 1942,sunk 25 October 1944,,,
Musketeer,ENG,M,DD,1935,18 September 1942,scrapped 1955,,,
Mustin,USA,Sims,DD,1570,15 September 1939,scuttled after A-bomb test 1948,,,
Mutsu,JPN,Nagato,dreadnought,42850,24 October 1921,sunk 8 June 1943,,,
Muzio Attendolo,Regia Marina,Montecuccoli,CL,3184,1935,lost 1942,,,
Myngs,ENG,V,DD,1830,23 June 1944,,,,
Myōkō,JPN,Myōkō,CA,13380,1929,scuttled by Royal Navy 8 June 1946,,,
Myosotis,ENG,Flower,K,925,30 May 1941,,,,
Myrmidon,Royal Navy  Polish Navy,M,DD,1920,1941,"to Poland as Orkan 18 November 1942, sunk 8 October 1943",,,
Z1 Leberecht Maass,GER,Type 1934,DD,"2,259 t (2,223 long tons) (standard)[5][a]",14 January 1937[6],Sunk by a naval mine or bomb on 22 February 1940.[7],,,
Z2 Georg Thiele,GER,Type 1934,DD,"2,259 t (2,223 long tons) (standard)[5]",27 February 1937[6],sunk 13 April 1940,,,
Z3 Max Schultz,GER,Type 1934,DD,3150,27 February 1937,sunk 22 February 1940,,,
Z4 Richard Beitzen,GER,Type 1934,DD,3150,13 May 1937,"ceded to UK, scrapped 1947",,,
Z5 Paul Jakobi,GER,Type 1934A,DD,"2,206 t (2,171 long tons) (normal) 3,160 t (3,110 long tons) (deep load)",29 June 1937,"ceded to UK, then to France February 1946 and renamed Desaix, scrapped 1958",,,
Z6 Theodor Riedel,GER,Type 1934A,DD,3100,2 July 1937,"Ceded to UK, then to France February 1946, renamed Kleber, scrapped 1958",,,
Z7 Hermann Schoemann,GER,Type 1934A,DD,3100,9 September 1937,sunk 2 May 1942,,,
Z8 Bruno Heinemann,GER,Type 1934A,DD,3100,8 January 1938,sunk 25 January 1942,,,
Z9 Wolfgang Zenker,GER,Type 1934A,DD,3100,2 July 1938,scuttled 13 April 1940,,,
Z10 Hans Lody,GER,Type 1934A,DD,3100,13 September 1938,scrapped 1946 - 1949,,,
Z11 Bernd von Arnim,GER,Type 1934A,DD,3100,6 December 1938,scuttled 13 April 1940,,,
Z12 Erich Giese,GER,Type 1934A,DD,3100,4 March 1939,sunk 13 April 1940,,,
Z13 Erich Koellner,GER,Type 1934A,DD,3100,28 March 1939,sunk 13 April 1940,,,
Z14 Friedrich Ihn,GER,Type 1934A,DD,3100,6 April 1938,scrapped 1952,,,
Z15 Erich Steinbrinck,GER,Type 1934A,DD,3100,31 May 1938,"ceded to USSR, 5 November 1945, renamed Pylikiy; scrapped 1958",,,
Z16 Friedrich Eckoldt,GER,Type 1934A,DD,3100,28 July 1938,sunk 31 December 1942,,,
Z17 Diether von Roeder,GER,Type 1936,DD,4400,29 August 1938,sunk 13 April 1940,,,
Z18 Hans Lüdemann,GER,Type 1936,DD,3400,8 October 1938,sunk 13 April 1940,,,
Z19 Hermann Künne,GER,Type 1936,DD,3400,12 January 1939,sunk 13 April 1940,,,
Z20 Karl Galster,GER,Type 1936,DD,3415,21 March 1939,scrapped 1956,,,
Z21 Wilhelm Heidkamp,GER,Type 1936,DD,3400,10 June 1939,sunk 10 April 1940,,,
Z22 Anton Schmidt,GER,Type 1936,DD,3400,24 September 1939,Sunk 10 April 1940,,,
Z23,GER,Type 1936A,DD,3605,15 September 1940,"decommissioned 21 August 1944, scrapped in 1951.",,,
Z24,GER,Type 1936A,DD,3605,26 October 1940,sunk 25 August 1944,,,
Z25,GER,Type 1936A,DD,3605,30 November 1940,"taken by France after war, scrapped in 1958.",,,
Z26,GER,Type 1936A,DD,3605,11 January 1941,sunk 29 March 1942,,,
Z27,GER,Type 1936A,DD,3605,26 February 1941,sunk 28 December 1943,,,
Z28,GER,Type 1936A,DD,3605,9 August 1941,sunk 3 March 1945,,,
Z29,GER,Type 1936A,DD,3605,25 June 1941,"taken by Britain after war, given to US, scuttled 16 December 1946",,,
Z30,GER,Type 1936A,DD,3605,15 November 1941,"taken by Norway after war, given to Britain, scrapped 1949",,,
Z31,GER,Type 1936A Mob,DD,3691,11 April 1942,"taken by France after war, scrapped in 1958.",,,
Z32,GER,Type 1936A Mob,DD,3691,15 September 1942,destroyed 9 June 1944,,,
Z33,GER,Type 1936A Mob,DD,3691,6 February 1943,"taken by Soviet Union after war, sunk as target ship 1961.",,,
Z34,GER,Type 1936A Mob,DD,3691,5 June 1943,"taken by USA after war, scuttled 26 March 1946",,,
Z35,GER,Type 1936B,DD,"2,559 t (2,519 long tons)",22 September 1943,Sunk by a mine on 12 December 1944.,,,
Z36,GER,Type 1936B,DD,"2,559 t (normal) 3,599 t (3,542 long tons) (deep load)",19 February 1944,Sunk by a mine on 12 December 1944.,,,
Z37,GER,Type 1936A Mob,DD,3691,16 July 1942,"scuttled 24 August 1944, scrapped in 1949",,,
Z38,GER,Type 1936A Mob,DD,3691,20 March 1943,"taken by Britain after war, scrapped between 1949 and 1950.",,,
Z39,GER,Type 1936A Mob,DD,3691,21 August 1943,"taken by Britain after war, scrapped in 1964.",,,
Z40,GER,Type 1936B,DD,"2,559 t (normal) 3,599 t (deep load)",,Cancelled in 1940.,,,
Z41,GER,Type 1936B,DD,"2,559 t (normal) 3,599 t (deep load)",,Cancelled in 1940.,,,
Z42,GER,Type 1936B,DD,,,Cancelled in 1940.,,,
Z43,GER,Type 1936B,DD,"2,559 t (normal) 3,599 t (deep load)",31 May 1944,Scuttled on 3 May 1945.,,,
Z44,GER,Type 1936B,DD,,,Sunk on 29 July 1944.,,,
Z45,GER,Type 1936B,DD,,,Scrapped in 1946.,,,
Zambesi,ENG,Z,DD,1830,18 July 1944,scrapped 1959,,,
Zara,Regia Marina,Zara,CA,11500,20 October 1931,sunk 29 March 1941,,,
Zealous,ENG,Z,DD,1830,9 October 1944,to Israel after war,,,
Zebra,ENG,Z,DD,1830,13 October 1944,scrapped 1954,,,
Zenith,ENG,Z,DD,1830,22 December 1944,to Egypt after war,,,
Zephyr,ENG,Z,DD,1830,6 September 1944,paid off 1954,,,
Zest,ENG,Z,DD,1830,12 July 1944,paid off July 1968,,,
Zetland,ENG,Hunt,DD,1050,27 June 1942,"paid off 20 April 1946, scrapped 1965",,,
Zinnia,ENG,Flower,K,925,30 March 1941,sunk 23 August 1941 by U-564[8],,,
Zodiac,ENG,Z,DD,1830,23 October 1944,to Israel after war,,,
Zuihō,JPN,Zuihō,CV,11260,January 1941,sunk 25 October 1944,,,
Zuikaku,JPN,Shōkaku,CV,29800,25 September 1941,25 October 1944,,,
Zulu,ENG,Tribal,DD,2020,7 September 1938,sunk 14 September 1942,,,
X2,ENG,Archimede,SS,1230,19 March 1934,"Former Italian Galileo Galilei, captured by RN on 18 June 1940; paid off January 1946",,,
X3,ENG,X,SS,30,1942,paid off 1945,,,
X4,ENG,X,SS,30,1942,paid off 1945,,,
X5,ENG,X,SS,30,1943,sunk 22 September 1943,,,
X6,ENG,X,SS,30,1943,scuttled 22 September 1943,,,
X7,ENG,X,SS,30,1943,scuttled 22 September 1943,,,
X8,ENG,X,SS,30,1943,scuttled 17 September 1943,,,
X9,ENG,X,SS,30,1943,foundered under tow 16 September 1943,,,
X10,ENG,X,SS,30,1943,scuttled 3 October 1943,,,
X20,ENG,X,SS,30,1944,paid off,,,
X21,ENG,X,SS,30,1944,,,,
X22,ENG,X,SS,30,1944,sank in training 7 February 1944,,,
X23,ENG,X,SS,30,1944,paid off 1945,,,
X24,ENG,X,SS,30,1944,paid off 1945,,,
X25,ENG,X,SS,30,1944,paid off 1945,,,
Xanthus,USA,Xanthus,repair ship,5801,9 May 1945,"built as repair ship, armed and served in various capacities; decommissioned 1946",,,
XE1,ENG,XE,SS,33,1944,paid off 1945,,,
XE2,ENG,XE,SS,33,1944,paid off 1945,,,
