Name,Sysname,HitPoints,OrgPoints,Cost,Visibility
Leone級,USH_ITA_CS_Leone_class,458.25,39706.75,567.625,6.0
偵察巡洋艦,SSH_CS_1,610.375,142721.875,758.875,5.75
Zenta級,USH_A=H_C_Zenta_class,521.125,91028.75,584.0,2.375
Mecidiye級,USH_OTM_C_Mecidiye_class,684.625,169809.5,830.125,4.625
済遠級,USH_CHI_C_sumien_class,523.5,92509.875,414.75,1.25
肇和級,USH_CHI_C_hajimewa_class,560.375,143170.875,605.0,4.875
Hekla級,USH_DEN_C_Hekla_class,404.0,49195.5,241.5,1.125
筑摩型,USH_JPN_C_chikuma_class,777.875,300359.5,1059.25,13.0
須磨型,USH_JPN_C_suma_class,546.125,115686.25,510.125,2.5
防護巡洋艦,SSH_C_1,578.625,133492.625,594.25,3.375
Amiral Charner級,USH_FRA_ACR_Amiral Charner_class,769.375,257422.75,889.375,10.875
Main級,USH_USA_ACR_Main_class,1022.25,367820.375,1263.625,14.75
装甲巡洋艦 I,SSH_ACR_0,898.5,318659.875,1091.125,13.0
春日型,USH_JPN_ACR_kasuga_class,1147.125,622758.125,1684.75,21.875
St_Georg級,USH_A=H_ACR_St_Georg_class,1196.625,776714.125,1694.375,27.375
Rurik級,USH_RUS_ACR_Rurik_class,2125.75,1978315.125,3897.75,85.375
Pisa級,USH_ITA_ACR_Pisa_class,1383.875,937048.625,2201.75,65.875
装甲巡洋艦 II,SSH_ACR_1,1470.625,1027413.25,2361.875,44.0
Scharnhorst級,USH_GER_ACR_Scharnhorst_class,1646.5,1238584.625,2830.625,47.125
Edgar Quinet級,USH_FRA_ACR_Edgar Quinet_class,1739.125,1487257.75,3074.0,56.375
Georgios Averof級,USH_GRE_ACR_Georgios Averof_class,1368.0,916521.5,2242.125,56.375
装甲巡洋艦 III,SSH_ACR_2,1586.25,1203275.0,2708.25,53.625
Abercrombie級,USH_ENG_MT_Abercrombie_class,878.0,191988.0,1414.5,47.5
Erebus級,USH_ENG_MT_Erebus_class,1116.375,340901.75,2382.875,57.375
Roberts級,USH_ENG_MT_Roberts_class,1205.375,483034.5,2580.25,49.0
モニター艦,SSH_MT_1,1066.0,328234.625,2090.0,52.5
天龍型,USH_JPN_CL_1_tenryuu_class,641.5,195694.25,819.0,21.125
球磨型,USH_JPN_CL_1_kuma_class,853.875,374832.75,1298.0,35.625
長良型,USH_JPN_CL_1_nagara_class,857.75,379520.0,1298.625,35.625
川内型,USH_JPN_CL_1_kawauchi_class,860.625,374534.875,1342.75,35.625
ジャワ級,USH_HOL_CL_1_jawa_class,1125.0,556060.75,2116.75,32.625
Reina Victoria Eugenia級,USH_SPR_CL_1_Reina Victoria Eugenia_class,939.375,379637.875,1599.0,34.0
Duguay_Trouin級,USH_FRA_CL_1_Duguay_Trouin_class,1200.625,715870.875,2293.5,51.125
Cöln級,USH_GER_CL_1_Coln_class,1058.5,574108.875,1707.25,26.375
Emerald級,USH_ENG_CL_1_Emerald_class,1234.0,714448.5,2264.375,62.25
Centaur級,USH_ENG_CL_1_Centaur_class,709.75,249081.25,999.5,22.375
二等巡洋艦 I,SSH_CL_1,951.0,436660.75,1571.625,34.75
古鷹型,USH_JPN_CA_1_furutaka_class,1366.625,929184.125,2647.75,85.75
蒼葉型,USH_JPN_CA_1_aoha_class,1237.625,864290.875,2286.0,92.25
Hawkins級,USH_ENG_CA_1_Hawkins_class,1529.75,1200456.5,2803.625,94.125
Duquesne級,USH_FRA_CA_1_Duquesne_class,1434.5,914768.375,3123.125,114.875
Trento級,USH_ITA_CA_1_Trento_class,1658.625,1304223.625,3495.375,143.5
妙高型,USH_JPN_CA_1_myoukou_class,1859.75,1796884.875,3716.0,154.875
一等巡洋艦　I,SSH_CA_1,1517.375,1158512.625,3017.875,114.75
Kirov級_I,USH_SOV_CL_2_Kirov_class_I,1268.375,981682.0,2524.125,78.25
Raimondo Montecuccoli級,USH_ITA_CL_2_Raimondo Montecuccoli_class,1231.625,873927.125,2385.125,66.5
Emanuele Filiberto Duca d'Aosta級,USH_ITA_CL_2_Emanuele Filiberto Duca d'Aosta_class,1442.875,1131907.5,2925.125,75.5
Leander級,USH_ENG_CL_2_Leander_class,1319.5,877153.5,2532.375,58.125
二等巡洋艦　II,SSH_CL_2,1316.75,970146.5,2596.5,70.375
高雄型,USH_JPN_CA_2_takao_class,1717.5,1695691.625,3484.0,150.75
最上型,USH_JPN_CA_2_saijou_class,1546.875,1529777.875,3024.0,144.625
Pensacola級,USH_USA_CA_2_Pensacola_class,1617.75,1194593.125,3406.0,110.0
Northampton級,USH_USA_CA_2_Northampton_class,1385.375,941274.25,2763.75,117.875
Portland級,USH_USA_CA_2_Portland_class,1744.875,1617827.625,3575.0,121.75
Algérie級,USH_FRA_CA_3_Algerie_class,1728.75,1457027.5,3725.125,134.375
一等巡洋艦　II,SSH_CA_2,1622.125,1400045.375,3317.75,130.0
Southampton級,USH_ENG_CL_3_Southampton_class,1562.375,1383828.625,3161.875,81.0
St_Louis級,USH_USA_CL_3_St_Louis_class,1433.0,1377743.25,2740.0,85.75
Luigi di Savoia Duca degli Abruzzi級,USH_ITA_CL_3_Luigi di Savoia Duca degli Abruzzi_class,1493.25,1086013.375,3222.125,88.125
二等巡洋艦　III,SSH_CL_3,1496.5,1289619.0,3041.375,85.0
Kirov級_II,USH_SOV_CA_3_Kirov_class_II,1283.625,1044886.5,2561.25,89.625
利根型,USH_JPN_CA_3_tone_class,1720.5,1644532.5,3676.25,129.5
Wichita級,USH_USA_CA_3_Wichita_class,1732.375,1739485.875,3618.125,103.125
一等巡洋艦　III,SSH_CA_3,1580.625,1463971.25,3276.5,106.5
A級_I,USH_ENG_DD_0_A_class_I,277.0,-5895.625,62.625,0.125
B級_I,USH_ENG_DD_0_B_class_I,286.5,-5295.625,84.0,0.375
雷型,USH_JPN_DD_0_kaminari_class,275.75,-5187.5,57.875,0.25
C級_I,USH_ENG_DD_0_C_class_I,287.375,-5235.625,81.625,0.375
D級_I,USH_ENG_DD_0_D_class_I,280.25,-5685.625,67.375,0.25
東雲型,USH_JPN_DD_0_shinonome_class,277.25,-5687.5,63.75,0.125
神風型_I,USH_JPN_DD_0_kamikaze_class_I,282.625,-5713.875,80.0,0.375
Bainbridge級,USH_USA_DD_0_Bainbridge_class,285.875,-6619.5,84.0,0.5
平甲板型駆逐艦,SSH_DD_0,281.625,-5682.875,72.25,0.25
E級_I,USH_ENG_DD_1_E_class_I,299.0,-4515.625,114.375,0.375
F級_I,USH_ENG_DD_1_F_class_I,333.75,-2601.625,196.875,1.125
Paulding級,USH_USA_DD_1_Paulding_class,316.625,-4717.875,165.875,1.625
G級_I,USH_ENG_DD_1_G_class_I,334.75,-3432.875,204.0,1.5
船首楼型駆逐艦,SSH_DD_1,321.0,-3955.125,169.5,1.125
H級_I,USH_ENG_DD_2_H_class_I,319.125,-3820.25,169.75,1.5
Cassin級,USH_USA_DD_2_Cassin_class,340.375,-2867.375,226.125,2.5
I級_I,USH_ENG_DD_2_I_class_I,319.75,-4091.875,172.625,1.125
海風型,USH_JPN_DD_2_umikaze_class,340.5,-3789.0,226.5,1.75
浦風型,USH_JPN_DD_2_urakaze_class,320.5,-5664.75,186.25,1.75
K級_I,USH_ENG_DD_2_K_class_I,339.375,-2325.75,222.375,1.5
Aylwin級,USH_USA_DD_2_Aylwin_class,342.125,-3092.5,234.125,2.625
L級_I,USH_ENG_DD_2_L_class_I,341.75,1025.0,226.625,1.625
Tucker級,USH_USA_DD_2_Tucker_class,354.0,2845.375,264.5,2.625
WWI期型駆逐艦 I,SSH_DD_2,335.375,-2574.0,213.25,1.875
M級_I,USH_ENG_DD_3_M_class_I,343.375,1266.75,235.75,1.5
R級_I,USH_ENG_DD_3_R_class_I,345.0,1454.75,235.0,1.625
V_W級_I,USH_ENG_DD_3_V_W_class_I,348.125,3504.25,259.5,8.0
磯風型,USH_JPN_DD_3_isokaze_class,359.375,3580.25,282.125,2.0
WWI期型駆逐艦 II,SSH_DD_3,349.0,2321.375,252.5,1.875
A級_II,USH_ENG_DD_4_A_class_II,373.25,7071.25,357.5,3.125
Bourrasque級,USH_FRA_DD_4_Bourrasque_class,367.25,6481.0,332.375,3.375
峯風型,USH_JPN_DD_4_minekaze_class,358.25,5459.375,291.5,2.875
神風型_II,USH_JPN_DD_4_kamikaze_class_II,375.625,8366.5,341.5,3.0
B級_II,USH_ENG_DD_4_B_class_II,370.625,9126.5,356.25,3.125
戦間期型駆逐艦 I,SSH_DD_4,368.75,7419.75,336.0,3.0
C級_II,USH_ENG_DD_5_C_class_II,373.5,8761.75,363.0,3.25
睦月型,USH_JPN_DD_5_ichigatsu_class,379.625,10221.25,364.125,2.875
吹雪型,USH_JPN_DD_5_fubuki_class,400.25,30634.125,430.0,5.0
D級_II,USH_ENG_DD_5_D_class_II,373.25,9206.25,365.75,3.25
戦間期型駆逐艦 II,SSH_DD_5,381.625,13591.5,381.875,3.5
E級_II,USH_ENG_DD_6_E_class_II,371.125,10692.5,361.75,3.375
F級_II,USH_ENG_DD_6_F_class_II,371.5,10837.5,367.125,3.25
Freccia級,USH_ITA_DD_6_Freccia_class,403.25,16807.625,442.75,2.875
Maestrale級,USH_ITA_DD_6_Maestrale_class,394.5,16557.0,431.375,3.875
Farragut級,USH_USA_DD_6_Farragut_class,372.0,12038.625,365.75,3.75
Porter級,USH_USA_DD_6_Porter_class,415.25,24005.75,495.75,5.625
初春型,USH_JPN_DD_6_shoshun_class,373.125,16929.375,375.125,3.875
白露型,USH_JPN_DD_6_hakuro_class,398.625,24826.375,458.25,3.875
条約型駆逐艦 I,SSH_DD_6,387.625,16289.375,412.375,3.75
朝潮型,USH_JPN_DD_7_asashio_class,428.125,33286.125,548.0,4.75
Mahan級,USH_USA_DD_7_Mahan_class,383.875,14198.625,408.0,3.875
Gridley級,USH_USA_DD_7_Gridley_class,392.375,15443.125,435.625,4.125
Oriani級,USH_ITA_DD_7_Oriani_class,405.625,23544.375,479.5,3.75
G級_II,USH_ENG_DD_7_G_class_II,369.25,10475.0,363.0,3.125
条約型駆逐艦 II,SSH_DD_7,395.875,18642.5,447.875,3.875
I級_II,USH_ENG_DD_8_I_class_II,373.0,12903.75,375.375,3.0
Tribal級,USH_ENG_DD_8_Tribal_class,417.75,26408.375,512.375,4.625
陽炎型,USH_JPN_DD_8_kagerou_class,413.625,32539.75,512.625,5.25
J_K_N級,USH_ENG_DD_8_J_K_N_class,406.5,27902.125,489.25,4.25
Sims級,USH_USA_DD_8_Sims_class,473.0,49221.0,685.25,4.375
WWII型駆逐艦 I,SSH_DD_8,416.75,28544.125,513.875,4.25
L級_II,USH_ENG_DD_9_L_class_II,422.875,35358.0,545.625,4.875
夕雲型,USH_JPN_DD_9_sekiun_class,435.5,39024.25,585.625,5.25
Gleaves級,USH_USA_DD_9_Gleaves_class,393.25,35532.625,456.375,4.375
Fletcher級,USH_USA_DD_9_Fletcher_class,435.875,61177.25,588.0,6.125
秋月型,USH_JPN_DD_9_akizuki_class,490.875,68247.625,766.75,7.75
冬月型,USH_JPN_DD_9_fuyugatsu_class,494.875,69612.625,781.0,14.875
島風型,USH_JPN_DD_9_shimakaze_class,479.375,63196.625,734.125,6.75
M級_II,USH_ENG_DD_9_M_class_II,423.5,39209.0,549.5,4.875
O級,USH_ENG_DD_9_O_class,388.25,23448.5,434.25,4.25
P級,USH_ENG_DD_9_P_class,388.0,28618.125,437.0,4.25
WWII型駆逐艦 II,SSH_DD_9,435.5,45062.625,586.0,6.0
改秋月型,USH_JPN_DD_10_kaiakizuki_class,520.75,84897.375,872.625,8.25
Allen_M_Sumner級,USH_USA_DD_10_Allen_M_Sumner_class,446.25,67869.125,634.875,7.125
Gearing級,USH_USA_DD_10_Gearing_class,467.75,75597.125,705.5,7.0
WWII型駆逐艦 III,SSH_DD_10,478.375,76677.25,739.125,7.5
Q級,USH_ENG_DD_9B_Q_class,397.0,32623.0,468.5,4.625
松型,USH_JPN_DD_9B_matsu_class,358.75,26571.0,360.875,2.75
R級_II,USH_ENG_DD_9B_R_class_II,397.0,32623.0,468.5,4.625
S級_II,USH_ENG_DD_9B_S_class_II,397.0,32623.0,471.875,4.625
WWII急造駆逐艦 I,SSH_DD_9B,387.5,31908.75,444.125,4.125
T級,USH_ENG_DD_10B_T_class,404.375,34423.0,494.75,4.75
U級,USH_ENG_DD_10B_U_class,402.5,33973.0,489.0,4.625
V級,USH_ENG_DD_10B_V_class,402.5,33973.0,489.0,4.625
W級,USH_ENG_DD_10B_W_class,402.5,33973.0,489.0,4.625
Z級,USH_ENG_DD_10B_Z_class,402.5,33973.0,489.0,4.625
C級_III,USH_ENG_DD_10B_C_class_III,402.5,33973.0,489.0,4.625
WWII急造駆逐艦 II,SSH_DD_10B,402.75,34048.0,490.0,4.625
Battle級,USH_ENG_DD_11_Battle_class,457.875,52238.375,666.625,6.5
Weapon級,USH_ENG_DD_11_Weapon_class,424.5,45005.25,577.625,5.125
Daring級,USH_ENG_DD_11_Daring_class,503.125,78108.375,860.25,7.625
Mitscher級,USH_USA_DD_11_Mitscher_class,571.5,120467.0,1114.375,14.625
戦後型駆逐艦 I,SSH_DD_11,489.5,71465.25,801.0,7.875
St_Laurent級,USH_CAN_DD_12_St_Laurent_class,483.625,63430.625,806.0,6.375
はるかぜ型,USH_JPN_DD_12_harukaze_class,400.375,39537.875,530.375,3.75
Gearing級_FRAM_I,USH_USA_DD_12_Gearing_class_FRAM_I,465.25,75597.125,764.375,7.375
あやなみ型,USH_JPN_DD_12_ayanami_class,400.75,36243.125,537.125,5.125
Friesland級,USH_HOL_DD_13_Friesland_class,471.875,65232.375,779.0,6.125
Forrest_Sherman級,USH_USA_DD_12_Forrest_Sherman_class,494.75,74178.875,852.5,11.75
戦後型駆逐艦 II,SSH_DD_12,452.875,58027.75,712.125,6.375
Allen_M_Sumner級_FRAM_II,USH_USA_DD_13_Allen_M_Sumner_class_FRAM_II,443.75,67869.125,705.875,7.375
Fletcher級_FRAM_II,USH_USA_DD_13_Fletcher_class_FRAM_II,433.5,61177.25,663.5,6.375
Charles_F_Adams級,USH_USA_DD_13_Charles_F_Adams_class,540.125,114144.25,1048.625,16.0
あきづき型,USH_JPN_v_akizuki_class,457.125,75814.625,752.0,7.625
Hamburg級,USH_GER_DD_13_Hamburg_class,563.625,92390.625,1148.0,10.75
Impavido級,USH_ITA_DD_13_Impavido_class,534.125,105471.875,1043.5,12.375
新世代駆逐艦 I,SSH_DD_13,495.5,86309.75,893.375,10.625
Audace級,USH_ITA_DD_14_Audace_class,571.25,165676.75,1238.375,18.25
やまぐも型,USH_JPN_DD_14_yamagumo_class,446.125,59008.125,680.5,0.0
Suffren級,USH_FRA_DD_14_Suffren_class,727.125,214541.0,1781.875,22.25
たかつき型,USH_JPN_DD_14_takatsuki_class,523.5,110487.5,1018.625,12.25
あまつかぜ,USH_JPN_DD_14_amatsukaze,525.25,110487.5,1006.5,13.625
新世代駆逐艦 II,SSH_DD_14,560.75,127145.25,1141.25,9.625
たちかぜ型,USH_JPN_DD_15_tachikaze_class,599.5,138685.25,1355.125,17.5
Spruance級,USH_USA_DD_15_Spruance_class,950.5,299168.5,2730.0,34.75
Iroquois級,USH_CAN_DD_15_Iroquois_class,635.125,144486.625,1444.75,26.5
Manchester級,USH_ENG_DD_15_Manchester_class,684.125,201939.25,1699.875,22.25
新世代駆逐艦 III,SSH_DD_15,718.25,192245.25,1804.625,23.125
Langley級,USH_USA_CV_1_Langley_class,1279.375,509531.0,2760.0,107.125
Argus級,USH_ENG_CV_1_Argus_class,1631.375,798557.25,3410.125,127.5
Furious級,USH_ENG_CV_1_Furious_class,2361.0,2664482.25,5192.0,431.25
鳳翔型,USH_JPN_CV_1_houshou_class,911.875,377157.75,1822.625,97.25
黎明期型航空母艦 I,SSH_CV_1,1571.375,990923.625,3325.125,162.25
龍驤型,USH_JPN_CV_2_ryuujou_class,1133.625,873627.125,2699.875,129.625
Glorious級,USH_ENG_CV_2_Glorious_class,2418.125,2732837.75,5811.0,425.375
黎明期型航空母艦 II,SSH_CV_2,1843.25,1813869.875,4290.0,245.375
Lexington級,USH_USA_BCONVCV_1_Lexington_class,3635.625,7163416.5,8653.0,741.0
加賀型,USH_JPN_BCONVCV_1_kaga_class,3209.75,4215242.875,7493.0,553.25
Béarn級,USH_FRA_BCONVCV_1_Bearn_class,2386.625,2099289.625,5625.0,300.375
赤城型,USH_JPN_BCONVCV_1_akagi_class,3739.0,6362321.0,9271.0,646.25
戦艦改装航空母艦 I,SSH_BB_CONV_CV_1,3266.25,4781190.75,7760.5,549.875
信濃型,USH_JPN_SHBCONVCV_1_shinano_class,6409.75,16162158.625,17980.0,961.5
重戦艦改装航空母艦 I,SSH_SHB_CONVCV_1,5506.25,0.0,17980.0,961.5
Ranger級,USH_USA_CV_3_Ranger_class,1746.875,2225784.75,3906.25,310.75
蒼龍型,USH_JPN_CV_3_souryuu_class,1925.125,2060939.5,4356.5,221.0
Wasp級,USH_USA_CV_3_Wasp_class,1910.125,2491086.625,4410.5,421.75
条約型航空母艦 I,SSH_CV_3,1878.25,2283048.125,4222.125,310.75
Yorktown級,USH_USA_CV_4_Yorktown_class,2434.125,3613743.125,5754.0,727.875
Ark Royal級,USH_ENG_CV_4_Ark Royal_class,2362.125,2132061.375,6072.0,466.625
飛龍型,USH_JPN_CV_4_hiryuu_class,1991.125,2177759.625,4809.375,235.375
条約型航空母艦 II,SSH_CV_4,2265.375,2645131.5,5547.5,446.875
Illustrious級,USH_ENG_CV_5_Illustrious_class,2497.25,2180715.5,6497.875,407.75
翔鶴型,USH_JPN_CV_5_shoukaku_class,2918.625,4851042.125,7240.25,421.75
大鳳型,USH_JPN_CV_5_ootori_class,3252.25,5465080.0,8262.5,721.5
WWII型航空母艦　I,SSH_CV_5,2888.5,4083311.75,7349.0,506.25
雲龍型,USH_JPN_CV_6_unryuu_class,2087.75,2399649.5,4939.125,235.375
Implacable級,USH_ENG_CV_6_Implacable_class,2664.625,4201099.375,6706.625,437.5
Graf Zeppelin級,USH_GER_CV_6_Graf Zeppelin_class,3566.875,6415964.5,9595.25,643.5
WWII型航空母艦　II,SSH_CV_6,2786.75,4194597.625,7068.875,415.875
Essex級,USH_USA_CV_7_Essex_class,3204.75,6836947.25,7696.375,533.875
Midway級,USH_USA_CV_7_Midway_class,5335.25,20445743.75,13050.0,2022.125
Essex級SCB-27,USH_USA_CV_7_Essex_classSCB-27,3720.875,8117247.25,9900.0,518.625
WWII型航空母艦　III,SSH_CV_7,4098.375,11145284.125,10229.625,871.75
Midway級SCB-110,USH_USA_CV_8_Midway_classSCB-110,6726.125,27674529.375,19535.5,5141.875
Essex級SCB-125,USH_USA_CV_8_Essex_classSCB-125,3818.75,8334247.25,10540.0,504.125
Forrestal級,USH_USA_CV_8_Forrestal_class,6981.125,33358007.5,18491.5,1321.375
Audacious級,USH_ENG_CV_8_Audacious_class,4664.125,12057733.125,13004.0,1489.625
Gibraltar級,USH_ENG_CV_8_Gibraltar_class,5031.0,13121030.0,14070.0,1209.0
戦後型航空母艦 I,SSH_CV_8,5436.0,17817242.625,15068.875,1663.625
Midway級SCB-101/66,USH_USA_CV_9_Midway_classSCB-101/66,6754.125,27674529.375,20787.75,5002.875
CVA-01級,USH_ENG_CV_9_CVA-01_class,5446.75,15602376.25,17490.0,2208.875
Kitty Hawk級,USH_USA_CV_9_Kitty Hawk_class,5845.625,18689798.0,19352.125,5386.25
戦後型航空母艦 II,SSH_CV_9,6015.25,20470157.375,19211.375,4043.5
Enterprise級,USH_USA_CVN_Enterprise_class,7544.75,37101535.25,24375.375,9431.75
原子力航空母艦 I,SSH_CVN_1,7544.75,37101535.25,24375.375,9431.75
