modulename,category,gfx,add_equipment_type,manpower,critical_parts,dismantle_cost_ic,steel,rubber,aluminium,chromium
add_average_stats,,,,,,,,,,
build_cost_resources,,,,,,,2,,,
can_convert_from,,,,,,,2,,,
can_convert_from,,,,,,,1,,,
critical_parts,,,,,,,,,,
ship_ENG_mid_battery_3,ship_mid_battery,,capital_ship,,,,,,,
multiply_stats,,,,,,,,,,
add_average_stats,,,,,,,,,,
build_cost_resources,,,,,,,2,,,
can_convert_from,,,,,,,2,,,
can_convert_from,,,,,,,1,,,
critical_parts,,,,,,,,,,
ship_mid_battery_1,ship_mid_battery,,capital_ship,,,,,,,
multiply_stats,,,,,,,,,,
add_average_stats,,,,,,,,,,
build_cost_resources,,,,,,,2,,,
can_convert_from,,,,,,,2,,,
can_convert_from,,,,,,,1,,,
critical_parts,,,,,,,,,,
ship_mid_battery_2,ship_mid_battery,,capital_ship,,,,,,,
multiply_stats,,,,,,,,,,
add_average_stats,,,,,,,,,,
build_cost_resources,,,,,,,2,,,
can_convert_from,,,,,,,2,,,
can_convert_from,,,,,,,1,,,
critical_parts,,,,,,,,,,
ship_mid_battery_3,ship_mid_battery,,capital_ship,,,,,,,
multiply_stats,,,,,,,,,,
add_average_stats,,,,,,,,,,
build_cost_resources,,,,,,,2,,,
can_convert_from,,,,,,,2,,,
can_convert_from,,,,,,,1,,,
critical_parts,,,,,,,,,,
ship_mid_battery_4,ship_mid_battery,,capital_ship,,,,,,,
multiply_stats,,,,,,,,,,
add_average_stats,,,,,,,,,,
build_cost_resources,,,,,,,2,,,
can_convert_from,,,,,,,2,,,
can_convert_from,,,,,,,1,,,
critical_parts,,,,,,,,,,
ship_mid_battery_5,ship_mid_battery,,capital_ship,,,,,,,
multiply_stats,,,,,,,,,,
add_average_stats,,,,,,,,,,
build_cost_resources,,,,,,,2,,,
can_convert_from,,,,,,,2,,,
can_convert_from,,,,,,,1,,,
critical_parts,,,,,,,,,,
ship_mid_battery_6,ship_mid_battery,,capital_ship,,,,,,,
multiply_stats,,,,,,,,,,
add_average_stats,,,,,,,,,,
build_cost_resources,,,,,,,2,,,
can_convert_from,,,,,,,2,,,
can_convert_from,,,,,,,1,,,
critical_parts,,,,,,,,,,
equipment_modules,ship_fire_control_system,ship_fire_control_system,,,,,,,,
multiply_stats,,,,,,,,,,
ship_fire_control_system_1,ship_fire_control_system,,,,,,,,,
multiply_stats,,,,,,,,,,
can_convert_from,,,,,,,,,,
ship_fire_control_system_2,ship_fire_control_system,,,,,,,,,
multiply_stats,,,,,,,,,,
can_convert_from,,,,,,,,,,
can_convert_from,,,,,,,,,,
ship_fire_control_system_3,ship_fire_control_system,,,,,,,,,
multiply_stats,,,,,,,,,,
can_convert_from,,,,,,,,,,
can_convert_from,,,,,,,,,,
ship_fire_control_system_4,ship_fire_control_system,,,,,,,,,
multiply_stats,,,,,,,,,,
can_convert_from,,,,,,,,,,
can_convert_from,,,,,,,,,,
ship_fire_control_system_5,ship_fire_control_system,,,,,,,,,
multiply_stats,,,,,,,,,,
can_convert_from,,,,,,,,,,
can_convert_from,,,,,,,,,,
ship_fire_control_system_6,ship_fire_control_system,,,,,,,,,
multiply_stats,,,,,,,,,,
can_convert_from,,,,,,,,,,
can_convert_from,,,,,,,,,,
ship_fire_control_system_7,ship_fire_control_system,,,,,,,,,
multiply_stats,,,,,,,,,,
can_convert_from,,,,,,,,,,
can_convert_from,,,,,,,,,,
ship_fire_control_system_8,ship_fire_control_system,,,,,,,,,
multiply_stats,,,,,,,,,,
can_convert_from,,,,,,,,,,
can_convert_from,,,,,,,,,,
ship_fire_control_system_9,ship_fire_control_system,,,,,,,,,
multiply_stats,,,,,,,,,,
can_convert_from,,,,,,,,,,
can_convert_from,,,,,,,,,,
ship_fire_control_system_10,ship_fire_control_system,,,,,,,,,
multiply_stats,,,,,,,,,,
can_convert_from,,,,,,,,,,
can_convert_from,,,,,,,,,,
ship_light_1,ship_light,,,,,,,,,
multiply_stats,,,,,,,,,,
ship_light_2,ship_light,,,,,,,,,
multiply_stats,,,,,,,,,,
can_convert_from,,,,,,,,,,
ship_radar_1,ship_radar,,,,,,,,,
multiply_stats,,,,,,,,,,
critical_parts,,,,,,,,,,
ship_radar_2,ship_radar,,,,,,,,,
multiply_stats,,,,,,,,,,
can_convert_from,,,,,,,,,,
critical_parts,,,,,,,,,,
ship_radar_3,ship_radar,,,,,,,,,
add_stats,,,,,,,,,,
can_convert_from,,,,,,,,,,
can_convert_from,,,,,,,,,,
critical_parts,,,,,,,,,,
ship_radar_4,ship_radar,,,,,,,,,
add_stats,,,,,,,,,,
can_convert_from,,,,,,,,,,
can_convert_from,,,,,,,,,,
critical_parts,,,,,,,,,,
ship_radar_5,ship_radar,,,,,,,,,
add_stats,,,,,,,,,,
can_convert_from,,,,,,,,,,
can_convert_from,,,,,,,,,,
critical_parts,,,,,,,,,,
ship_radar_6,ship_radar,,,,,,,,,
add_stats,,,,,,,,,,
can_convert_from,,,,,,,,,,
can_convert_from,,,,,,,,,,
critical_parts,,,,,,,,,,
ship_radar_7,ship_radar,,,,,,,,,
add_stats,,,,,,,,,,
can_convert_from,,,,,,,,,,
can_convert_from,,,,,,,,,,
critical_parts,,,,,,,,,,
ship_radar_8,ship_radar,,,,,,,,,
add_stats,,,,,,,,,,
can_convert_from,,,,,,,,,,
can_convert_from,,,,,,,,,,
critical_parts,,,,,,,,,,
ship_radar_9,ship_radar,,,,,,,,,
add_stats,,,,,,,,,,
can_convert_from,,,,,,,,,,
can_convert_from,,,,,,,,,,
can_convert_from,,,,,,,,,,
critical_parts,,,,,,,,,,
ship_radar_10,ship_radar,,,,,,,,,
add_stats,,,,,,,,,,
can_convert_from,,,,,,,,,,
can_convert_from,,,,,,,,,,
can_convert_from,,,,,,,,,,
critical_parts,,,,,,,,,,
ship_sonar_1,ship_sonar,ship_sonar_1,,,,,,,,
ship_sonar_2,ship_sonar,ship_sonar_2,,,,,,,,
can_convert_from,,,,,,,,,,
ship_sonar_3,ship_sonar,ship_sonar_3,,,,,,,,
can_convert_from,,,,,,,,,,
ship_sonar_4,ship_sonar,ship_sonar_4,,,,,,,,
can_convert_from,,,,,,,,,,
ship_sonar_5,ship_sonar,ship_sonar_5,,,,,,,,
can_convert_from,,,,,,,,,,
ship_sonar_6,ship_sonar,ship_sonar_6,,,,,,,,
can_convert_from,,,,,,,,,,
ship_sonar_7,ship_sonar,ship_sonar_7,,,,,,,,
can_convert_from,,,,,,,,,,
ship_sonar_8,ship_sonar,ship_sonar_8,,,,,,,,
can_convert_from,,,,,,,,,,
ship_sonar_9,ship_sonar,ship_sonar_9,,,,,,,,
can_convert_from,,,,,,,,,,
ship_sonar_10,ship_sonar,ship_sonar_10,,,,,,,,
can_convert_from,,,,,,,,,,
equipment_modules,flush_deck,flush_deck,capital_ship,,,,,,,
multiply_stats,,,,360,,,,,,
build_cost_resources,,,,,,,1,,,
oil_catapult,oil_catapult,oil_catapult,capital_ship,,,,,,,
multiply_stats,,,,400,,,,,,
build_cost_resources,,,,,,,2,,,
can_convert_from,,,,,,900,1,,,
steam_catapult,ship_jet_deck_space,steam_catapult,capital_ship,,,,,,,
multiply_stats,,,,600,,,,,,
build_cost_resources,,,,,,,2,,,
can_convert_from,,,,,,900,1,,,
oil_catapult_s,ship_jet_deck_space_s,oil_catapult_s,capital_ship,,,,,,,
multiply_stats,,,,400,,,,,,
build_cost_resources,,,,,,,2,,,
can_convert_from,,,,,,900,1,,,
angled_deck,ship_deck_space_option,oil_catapult_s,capital_ship,,,,,,,
multiply_stats,,,,,,,,,,
multiply_stats,,,,400,,,,,,
build_cost_resources,,,,,,,1,,,
sub_deck_space_1,sub_deck_space,,carrier,,,,,,,
multiply_stats,,,,90,,,,,,
build_cost_resources,,,,,,,1,,,
ship_deck_space_C,ship_deck_space_C,flush_deck,carrier,,,,,,,
multiply_stats,,,,60,,,,,,
build_cost_resources,,,,,,,1,,,
ship_deck_space_C_2,ship_deck_space_C,flush_deck,carrier,,,,,,,
multiply_stats,,,,120,,,,,,
build_cost_resources,,,,,,,1,,,
ship_deck_space_BB,ship_deck_space_BB,flush_deck,carrier,,,,,,,
multiply_stats,,,,180,,,,,,
build_cost_resources,,,,,,,1,,,
SM_CAT_D,SM_CV_D,flush_deck,capital_ship,,,,,,,
build_cost_resources,,,,360,,,1,,,
equipment_modules,ship_engine,,,,,,,,,
add_stats,,,,,,,,,,
build_cost_resources,,,,,,,30,20,20,30
equipment_modules,ship_heavy_battery,,capital_ship,,,,,,,
multiply_stats,,,,,,,,,,
add_average_stats,,,,,,,,,,
build_cost_resources,,,,,,,1,,,
can_convert_from,,,,,,,,,,
critical_parts,,,,,,,,,,
ship_older_heavy_battery_2,ship_heavy_battery,,capital_ship,,,,,,,
multiply_stats,,,,,,,,,,
add_average_stats,,,,,,,,,,
build_cost_resources,,,,,,,1,,,
can_convert_from,,,,,,,,,,
can_convert_from,,,,,,,,,,
critical_parts,,,,,,,,,,
ship_older_heavy_battery_3,ship_heavy_battery,,capital_ship,,,,,,,
multiply_stats,,,,,,,,,,
add_average_stats,,,,,,,,,,
build_cost_resources,,,,,,,1,,,
can_convert_from,,,,,,,,,,
can_convert_from,,,,,,,,,,
critical_parts,,,,,,,,,,
ship_older_heavy_battery_4,ship_heavy_battery,,capital_ship,,,,,,,
multiply_stats,,,,,,,,,,
add_average_stats,,,,,,,,,,
build_cost_resources,,,,,,,1,,,
can_convert_from,,,,,,,,,,
can_convert_from,,,,,,,,,,
critical_parts,,,,,,,,,,
ship_old_heavy_battery_1,ship_heavy_battery,,capital_ship,,,,,,,
multiply_stats,,,,,,,,,,
add_average_stats,,,,,,,,,,
build_cost_resources,,,,,,,1,,,
can_convert_from,,,,,,,,,,
can_convert_from,,,,,,,,,,
critical_parts,,,,,,,,,,
ship_old_heavy_battery_2,ship_heavy_battery,,capital_ship,,,,,,,
multiply_stats,,,,,,,,,,
add_average_stats,,,,,,,,,,
build_cost_resources,,,,,,,1,,,1
can_convert_from,,,,,,,,,,
can_convert_from,,,,,,,,,,
critical_parts,,,,,,,,,,
ship_heavy_battery_1,ship_heavy_battery,,capital_ship,,,,,,,
multiply_stats,,,,,,,,,,
add_average_stats,,,,,,,,,,
build_cost_resources,,,,,,,1,,,
can_convert_from,,,,,,,,,,
critical_parts,,,,,,,,,,
ship_heavy_battery_2,ship_heavy_battery,,capital_ship,,,,,,,
multiply_stats,,,,,,,,,,
add_average_stats,,,,,,,,,,
build_cost_resources,,,,,,,1,,,
can_convert_from,,,,,,,,,,
can_convert_from,,,,,,,,,,
critical_parts,,,,,,,,,,
ship_heavy_battery_3,ship_heavy_battery,,capital_ship,,,,,,,
multiply_stats,,,,,,,,,,
add_average_stats,,,,,,,,,,
build_cost_resources,,,,,,,1,,,
can_convert_from,,,,,,,,,,
can_convert_from,,,,,,,,,,
critical_parts,,,,,,,,,,
ship_heavy_battery_4,ship_heavy_battery,,capital_ship,,,,,,,
multiply_stats,,,,,,,,,,
add_average_stats,,,,,,,,,,
build_cost_resources,,,,,,,1,,,1
can_convert_from,,,,,,,,,,
can_convert_from,,,,,,,,,,
critical_parts,,,,,,,,,,
ship_heavy_battery_5,ship_heavy_battery,,capital_ship,,,,,,,
multiply_stats,,,,,,,,,,
add_average_stats,,,,,,,,,,
build_cost_resources,,,,,,,1,,,1
can_convert_from,,,,,,,,,,
can_convert_from,,,,,,,,,,
critical_parts,,,,,,,,,,
ship_SPR_heavy_battery_1,ship_heavy_battery,,capital_ship,,,,,,,
multiply_stats,,,,,,,,,,
add_average_stats,,,,,,,,,,
build_cost_resources,,,,,,,1,,,
can_convert_from,,,,,,,,,,
critical_parts,,,,,,,,,,
ship_ENG_heavy_battery_1,ship_heavy_battery,,capital_ship,,,,,,,
multiply_stats,,,,,,,,,,
add_average_stats,,,,,,,,,,
build_cost_resources,,,,,,,1,,,
can_convert_from,,,,,,,,,,
critical_parts,,,,,,,,,,
ship_ENG_heavy_battery_2,ship_heavy_battery,,capital_ship,,,,,,,
multiply_stats,,,,,,,,,,
add_average_stats,,,,,,,,,,
build_cost_resources,,,,,,,1,,,
can_convert_from,,,,,,,,,,
critical_parts,,,,,,,,,,
ship_ITA_heavy_battery,ship_heavy_battery,,capital_ship,,,,,,,
multiply_stats,,,,,,,,,,
add_average_stats,,,,,,,,,,
build_cost_resources,,,,,,,1,,,
can_convert_from,,,,,,,,,,
critical_parts,,,,,,,,,,
ship_ITA_oldest_heavy_battery_1,ship_heavy_battery,,capital_ship,,,,,,,
multiply_stats,,,,,,,,,,
add_average_stats,,,,,,,,,,
build_cost_resources,,,,,,,1,,,
can_convert_from,,,,,,,,,,
can_convert_from,,,,,,,,,,
critical_parts,,,,,,,,,,
ship_ITA_oldest_heavy_battery_2,ship_heavy_battery,,capital_ship,,,,,,,
multiply_stats,,,,,,,,,,
add_average_stats,,,,,,,,,,
build_cost_resources,,,,,,,1,,,
can_convert_from,,,,,,,,,,
can_convert_from,,,,,,,,,,
critical_parts,,,,,,,,,,
ship_FRA_heavy_battery,ship_heavy_battery,,capital_ship,,,,,,,
multiply_stats,,,,,,,,,,
add_average_stats,,,,,,,,,,
build_cost_resources,,,,,,,1,,,
can_convert_from,,,,,,,,,,
critical_parts,,,,,,,,,,
ship_FRA_heavy_battery_1,ship_heavy_battery,,capital_ship,,,,,,,
multiply_stats,,,,,,,,,,
add_average_stats,,,,,,,,,,
build_cost_resources,,,,,,,1,,,
can_convert_from,,,,,,,,,,
critical_parts,,,,,,,,,,
ship_ENG_heavy_battery_oldest,ship_heavy_battery,,capital_ship,,,,,,,
multiply_stats,,,,,,,,,,
add_average_stats,,,,,,,,,,
build_cost_resources,,,,,,,1,,,
can_convert_from,,,,,,,,,,
critical_parts,,,,,,,,,,
ship_CHL_heavy_battery,ship_heavy_battery,,capital_ship,,,,,,,
multiply_stats,,,,,,,,,,
add_average_stats,,,,,,,,,,
build_cost_resources,,,,,,,1,,,
can_convert_from,,,,,,,,,,
critical_parts,,,,,,,,,,
ship_JAP_heavy_battery,ship_heavy_battery,,capital_ship,,,,,,,
multiply_stats,,,,,,,,,,
add_average_stats,,,,,,,,,,
build_cost_resources,,,,,,,1,,,
can_convert_from,,,,,,,,,,
critical_parts,,,,,,,,,,
ship_USA_heavy_battery,ship_heavy_battery,,capital_ship,,,,,,,
multiply_stats,,,,,,,,,,
add_average_stats,,,,,,,,,,
build_cost_resources,,,,,,,1,,,
can_convert_from,,,,,,,,,,
critical_parts,,,,,,,,,,
ship_oldest_heavy_battery_1,ship_heavy_battery,,capital_ship,,,,,,,
multiply_stats,,,,,,,,,,
add_average_stats,,,,,,,,,,
build_cost_resources,,,,,,,1,,,
can_convert_from,,,,,,,,,,
critical_parts,,,,,,,,,,
ship_oldest_heavy_battery_2,ship_heavy_battery,,capital_ship,,,,,,,
multiply_stats,,,,,,,,,,
add_average_stats,,,,,,,,,,
build_cost_resources,,,,,,,1,,,
can_convert_from,,,,,,,,,,
critical_parts,,,,,,,,,,
ship_super_heavy_battery_0,ship_super_heavy_battery,,capital_ship,,,,,,,
build_cost_resources,,,,,,,1,,,1
multiply_stats,,,,,,,,,,
add_average_stats,,,,,,,,,,
can_convert_from,,,,,,,,,,
critical_parts,,,,,,,,,,
ship_super_heavy_battery_1,ship_super_heavy_battery,,capital_ship,,,,,,,
build_cost_resources,,,,,,,1,,,1
multiply_stats,,,,,,,,,,
add_average_stats,,,,,,,,,,
can_convert_from,,,,,,,,,,
critical_parts,,,,,,,,,,
ship_super_heavy_battery_2,ship_super_heavy_battery,,capital_ship,,,,,,,
build_cost_resources,,,,,,,1,,,1
multiply_stats,,,,,,,,,,
add_average_stats,,,,,,,,,,
can_convert_from,,,,,,,,,,
critical_parts,,,,,,,,,,
ship_super_heavy_battery_3,ship_super_heavy_battery,,capital_ship,,,,,,,
build_cost_resources,,,,,,,1,,,1
multiply_stats,,,,,,,,,,
add_average_stats,,,,,,,,,,
can_convert_from,,,,,,,,,,
critical_parts,,,,,,,,,,
ship_GER_super_heavy_battery_1,ship_super_super_heavy_battery,,capital_ship,,,,,,,
multiply_stats,,,,,,,,,,
build_cost_resources,,,,,,,10,,,10
multiply_stats,,,,,,,,,,
add_average_stats,,,,1400,,,,,,
critical_parts,,,,,,,,,,
SM_HCT_480_L50,ship_super_heavy_battery,,capital_ship,,,,,,,
build_cost_resources,,,,,,,15,,,15
multiply_stats,,,,,,,,,,
add_average_stats,,,,1400,,,,,,
critical_parts,,,,,,,,,,
equipment_modules,SRMs,SRM_AV,,,,,,,,
can_convert_from,,,,,,,1,,,
equipment_modules,ship_torpedo_sub,,,,,,,,,
build_cost_resources,,,,,,,0,,,
critical_parts,,,,,,,,,,
ship_torpedo_sub_1,ship_torpedo_sub,,,,,,,,,
build_cost_resources,,,,,,,0,,,
critical_parts,,,,,,,,,,
ship_torpedo_sub_2,ship_torpedo_sub,,,,,,,,,
build_cost_resources,,,,,,,0,,,
can_convert_from,,,,,,,,,,
critical_parts,,,,,,,,,,
ship_torpedo_sub_3,ship_torpedo_sub,,,,,,,,,
can_convert_from,,,,,,,,,,
critical_parts,,,,,,,,,,
ship_torpedo_sub_4,ship_torpedo_sub,,,,,,,,,
can_convert_from,,,,,,,,,,
critical_parts,,,,,,,,,,
ship_torpedo_sub_5,ship_torpedo_sub,,,,,,,,,
can_convert_from,,,,,,,,,,
critical_parts,,,,,,,,,,
ship_torpedo_sub_6,ship_torpedo_sub,,,,,,,,,
can_convert_from,,,,,,,,,,
critical_parts,,,,,,,,,,
ship_torpedo_sub_7,ship_torpedo_sub,,,,,,,,,
can_convert_from,,,,,,,,,,
can_convert_from,,,,,,,,,,
critical_parts,,,,,,,,,,
ship_JAP_torpedo_sub,ship_torpedo_sub,,,,,,,,,
can_convert_from,,,,,,,,,,
critical_parts,,,,,,,,,,
equipment_modules,SM_SH_TP,,,,,,,,,
multiply_stats,,,,,,,,,,
SM_SH_TP_2,SM_SH_TP,,,,,,,,,
multiply_stats,,,,,,,,,,
SM_SH_TP_3,SM_SH_TP,,,,,,,,,
multiply_stats,,,,,,,,,,
SM_SH_TP_4,SM_SH_TP,,,,,,,,,
multiply_stats,,,,,,,,,,
SM_SH_TP_5,SM_SH_TP,,,,,,,,,
multiply_stats,,,,,,,,,,
SM_SH_TP_6,SM_SH_TP,,,,,,,,,
multiply_stats,,,,,,,,,,
ship_short_torpedo_1,ship_short_torpedo,,,,,,,,,
multiply_stats,,,,,,,,,,
build_cost_resources,,,,,,,0,,,
critical_parts,,,,,,,,,,
equipment_modules,ship_secondaries,,,,,,,,,
multiply_stats,,,,,,,,,,
add_average_stats,,,,,,,,,,
can_convert_from,,,,,,,,,,
critical_parts,,,,,,,,,,
ship_older_secondaries_1,ship_secondaries,,,,,,,,,
multiply_stats,,,,,,,,,,
add_average_stats,,,,,,,,,,
can_convert_from,,,,,,,,,,
critical_parts,,,,,,,,,,
ship_older_secondaries_2,ship_secondaries,,,,,,,,,
multiply_stats,,,,,,,,,,
add_average_stats,,,,,,,,,,
can_convert_from,,,,,,,,,,
critical_parts,,,,,,,,,,
ship_old_secondaries_1,ship_secondaries,,,,,,,,,
multiply_stats,,,,,,,,,,
add_average_stats,,,,,,,,,,
can_convert_from,,,,,,,,,,
critical_parts,,,,,,,,,,
ship_old_secondaries_2,ship_secondaries,,,,,,,,,
multiply_stats,,,,,,,,,,
add_average_stats,,,,,,,,,,
can_convert_from,,,,,,,,,,
critical_parts,,,,,,,,,,
ship_old_secondaries_3,ship_secondaries,,,,,,,,,
multiply_stats,,,,,,,,,,
add_average_stats,,,,,,,,,,
can_convert_from,,,,,,,,,,
can_convert_from,,,,,,,,,,
critical_parts,,,,,,,,,,
ship_secondaries_1,ship_secondaries,,,,,,,,,
multiply_stats,,,,,,,,,,
add_average_stats,,,,,,,,,,
can_convert_from,,,,,,,,,,
critical_parts,,,,,,,,,,
ship_secondaries_2,ship_secondaries,,,,,,,,,
multiply_stats,,,,,,,,,,
add_average_stats,,,,,,,,,,
can_convert_from,,,,,,,,,,
critical_parts,,,,,,,,,,
ship_secondaries_3,ship_secondaries,,,,,,,,,
multiply_stats,,,,,,,,,,
add_average_stats,,,,,,,,,,
can_convert_from,,,,,,,,,,
can_convert_from,,,,,,,,,,
critical_parts,,,,,,,,,,
ship_secondaries_4,ship_secondaries,,,,,,,,,
multiply_stats,,,,,,,,,,
add_average_stats,,,,,,,,,,
can_convert_from,,,,,,,,,,
can_convert_from,,,,,,,,,,
critical_parts,,,,,,,,,,
ship_secondaries_5,ship_secondaries,,,,,,,,,
multiply_stats,,,,,,,,,,
add_average_stats,,,,,,,,,,
can_convert_from,,,,,,,,,,
can_convert_from,,,,,,,,,,
critical_parts,,,,,,,,,,
ship_secondaries_6,ship_secondaries,,,,,,,,,
multiply_stats,,,,,,,,,,
add_average_stats,,,,,,,,,,
can_convert_from,,,,,,,,,,
can_convert_from,,,,,,,,,,
critical_parts,,,,,,,,,,
ship_old_light_battery_1x4,ship_light_batteryx4,,,,,,,,,
multiply_stats,,,,,,,,,,
add_average_stats,,,,,,,,,,
can_convert_from,,,,,,,,,,
critical_parts,,,,,,,,,,
ship_old_light_battery_2x4,ship_light_batteryx4,,,,,,,,,
multiply_stats,,,,,,,,,,
add_average_stats,,,,,,,,,,
can_convert_from,,,,,,,,,,
critical_parts,,,,,,,,,,
ship_old_light_battery_3x4,ship_light_batteryx4,,,,,,,,,
multiply_stats,,,,,,,,,,
add_average_stats,,,,,,,,,,
can_convert_from,,,,,,,,,,
critical_parts,,,,,,,,,,
ship_light_battery_1x4,ship_light_batteryx4,,,,,,,,,
multiply_stats,,,,,,,,,,
add_average_stats,,,,,,,,,,
can_convert_from,,,,,,,,,,
critical_parts,,,,,,,,,,
ship_light_battery_2x4,ship_light_batteryx4,,,,,,,,,
multiply_stats,,,,,,,,,,
add_average_stats,,,,,,,,,,
can_convert_from,,,,,,,,,,
can_convert_from,,,,,,,,,,
critical_parts,,,,,,,,,,
ship_light_battery_3x4,ship_light_batteryx4,,,,,,,,,
add_average_stats,,,,,,,,,,
multiply_stats,,,,,,,,,,
can_convert_from,,,,,,,,,,
can_convert_from,,,,,,,,,,
critical_parts,,,,,,,,,,
ship_light_battery_4x4,ship_light_batteryx4,,,,,,,,,
build_cost_resources,,,,,,,1,,,
multiply_stats,,,,,,,,,,
add_average_stats,,,,,,,,,,
