Ship,Country or organization,Class,Type,Displacement (tons),First commissioned,Fate
Melvin,USA,Fletcher,DD,2050,24 November 1943,"Decommissioned 13 January 1954, scrapped 1975"
Memphis,USA,Omaha,CL,7050,17 December 1925,scrapped 1947
Mendip,ENG,Hunt,DE,1000,12 October 1940,"paid off 20 May 1946, scrapped 1972"
Mendoza,Argentine Navy,Mendoza,DD,1570,,Discarded 30 April 1962
Meon,Royal Navy  Royal Canadian Navy,River,FF,1445,31 December 1943,"to Canada 7 February 1944, paid off 23 April 1945"
Meredith,USA,Gleaves,DD,1630,1 March 1941,sunk 15 October 1942
Mervine,USA,Gleaves,DD,1630,17 June 1942,"decommissioned 1949, scrapped 1969"
Meteor,ENG,M,DD,1920,12 August 1942,
Meynell,ENG,Hunt,DE,1050,10 December 1940,scrapped 1978
Miami,USA,Cleveland,CL,11800,28 December 1943,scrapped 1962
Miaoulis,Hellenic Navy,Hunt,DE,1050,25 November 1942,"paid off 1959, scrapped 1960"
Michel,GER,,MC,10900,7 September 1941,sunk 17 October 1943
Micmac,Royal Canadian Navy,Tribal,DD,1927,18 September 1945,"built and launched during war, paid off 31 March 1964"
Middleton,ENG,Hunt,DE,1050,10 January 1943,scrapped February 1958
Midland,Royal Canadian Navy,Flower,K,925,17 November 1941,paid off 15 July 1945
Might,USA,Flower modified,K,1015,22 December 1942,9 October 1945
Mignonette,ENG,Flower,K,925,7 May 1941,
Mikuma,JPN,Mogami,CA,13440,29 August 1935,Sunk 6 June 1942
Milne,ENG,M,DD,1935,6 August 1942,
Milwaukee,United States Navy  Soviet Navy,Omaha,CL,7050,20 June 1923; to USSR as Murmansk 20 April 1944,scrapped 10 December 1949
Mimico,Royal Canadian Navy,Flower modified,K,1015,8 February 1944,18 July 1945
Mimosa,FRA,Flower,K,925,11 May 1941,9 June 1942
Minas Geraes,Brazilian Navy,Minas Geraes,dreadnought,19200,6 January 1910,Decommissioned 20 September 1953
Minegumo,JPN,Asashio,DD,1961,,
Minneapolis,USA,New Orleans,CA,9950,19 May 1934,"Decommissioned 10 February 1947, scrapped 1959"
Miralda,ENG,Rapana,merchant aircraft carrier,16000,January 1944,returned to merchant service post-war; renamed Marisa
Misiones,Argentine Navy,Buenos Aires,DD,1375,,Discarded 3 May 1971
Misoa,ENG,Maracaibo,LST,4193,11 August 1941,paid off March 1945
Mission Bay,USA,Casablanca,CVE,7800,26 May 1943,"decommissioned 21 February 1947, scrapped 1959"
Mississippi,USA,New Mexico,BB,32000,25 January 1917,decommissioned 1956 (for scrap)
Missouri,USA,Iowa,BB,45000,11 June 1944,decommissioned 1992; museum ship
Mobile,USA,Cleveland,CL,11800,24 March 1943,scrapped 1960
Moffett,USA,Porter,DD,1850,28 August 1936,scrapped 1947
Mogami,JPN,Mogami,CA,12400,1935,Sunk 25 October 1944
Mohawk,ENG,Tribal,DD,2020,7 September 1938,sunk 16 April 1941
Molotov,Soviet Navy,Maxim Gorkiy (Project 26 bis),CA,8200,25 October 1940,decommissioned February 1956
Monaghan,USA,Farragut,DD,1365,18 April 1935,foundered in typhoon 18 December 1944
Moncton,Royal Canadian Navy,Flower,K,925,24 April 1942,paid off 12 December 1945
Monkshood,ENG,Flower,K,925,31 July 1941,
Monnow,Royal Navy  Royal Canadian Navy,River,FF,1445,11 May 1944,"to Canada 3 August 1944, paid off 11 June 1945"
Monowai,Royal New Zealand Navy,,armed merchant cruiser,4925,30 August 1940,"Decommissioned 18 June 1943, then landing ship"
Monssen,USA,Gleaves,DD,1630,14 March 1941,Sunk13 November 1942
Montbretia,Royal Norwegian Navy,Flower,K,925,29 September 1941,sunk 18 November 1942 by U-262
Montcalm,French Navy  Free French Naval Forces,La Galissonniere,CL,7600,15 November 1937,Decommissioned 1 May 1957
Montclare,ENG,,submarine tender,21550,2 June 1942 (former AMC Montclare),scrapped October 1954
Monterey,USA,Independence,CVL,11000,17 June 1943,"decommissioned 16 January 1956, scrapped 1971"
Evans,Royal Navy  Royal Canadian Navy,Town,DD,1247,23 October 1940,"to Canada 1942, paid off 22 June 1944"
Montpelier,USA,Cleveland,CL,11800,9 September 1942,scrapped 1960
Montreal,Royal Canadian Navy,River,FF,1445,12 November 1943,paid off 15 October 1945
Montrose,ENG,Admiralty,flotilla leader,1530,14 September 1918,scrapped January 1946
Moose Jaw,Royal Canadian Navy,Flower,K,925,19 June 1941,paid off 8 July 1945
Morava,Royal Yugoslav Navy,Körös,river monitor,448,15 April 1920,scuttled 11 April 1941
Morden,Royal Canadian Navy,Flower,K,925,6 September 1941,paid off 29 June 1945
Moreno,Argentine Navy,Rivadavia,dreadnought,27720,26 February 1915,scrapped February 1956
Morris,USA,Sims,DD,1570,5 March 1940,scrapped 1947
Morrison,USA,Fletcher,DD,"2,050 tons",18 December 1943,"Sunk by kamikazes, 4 May 1945"
Möwe,GER,Raubvogel,torpedo boat,1213,1 October 1926,sunk 15 June 1944
Moyola,Royal Navy  Free French Naval Forces,River,FF,1370,15 October 1944,"to France 15 October 1944, Decommissioned 1961"
Mugford,USA,Bagley,DD,1500,16 August 1937,scuttled after A-bomb test 1948
Multan,Royal Indian Navy,Basset,AM,529,1941–1944,1941–1944
Munda,USA,Casablanca,CVE,7800,8 July 1944,"decommissioned 26 April 1946, scrapped 1960"
Murasame,JPN,Shiratsuyu,DD,1685,7 January 1937,sunk 4 March 1943
Murphy,USA,Benson,DD,1620,25 July 1942,"decommissioned 1946, scrapped 1972"
Musashi,JPN,Yamato,BB,68200,5 August 1942,sunk 25 October 1944
Musketeer,ENG,M,DD,1935,18 September 1942,scrapped 1955
Mustin,USA,Sims,DD,1570,15 September 1939,scuttled after A-bomb test 1948
Mutsu,JPN,Nagato,dreadnought,42850,24 October 1921,sunk 8 June 1943
Muzio Attendolo,Regia Marina,Montecuccoli,CL,3184,1935,lost 1942
Myngs,ENG,V,DD,1830,23 June 1944,
Myōkō,JPN,Myōkō,CA,13380,1929,scuttled by Royal Navy 8 June 1946
Myosotis,ENG,Flower,K,925,30 May 1941,
Myrmidon,Royal Navy  Polish Navy,M,DD,1920,1941,"to Poland as Orkan 18 November 1942, sunk 8 October 1943"
