Ship,Country or organization,Class,Type,Displacement (tons),First commissioned,Fate
Candytuft,Royal Navy  United States Navy,Flower,K,925,16 October 1940,"to USA as Tenacity 4 March 1942, to UK 26 August 1945"
Canfield,USA,Evarts,DE,1140,22 July 1943,scrapped 1947
Cannon,United States Navy  Brazilian Navy,Cannon,DE,1240,26 September 1943,to Brazil 19 December 1944 as Baependi
Cap de la Madeleine,Royal Canadian Navy,River,FF,1445,30 September 1944,paid off 15 May 1965
Cape Breton,Royal Canadian Navy,River,FF,1445,25 October 1943,paid off 26 January 1946
Cape Esperance,USA,Casablanca,CVE,10400,9 April 1944,scrapped 1959
Cape Gloucester,USA,Commencement Bay,CVE,10900,5 March 1945,"decommissioned 1946, scrapped 1971"
Caperton,USA,Fletcher,DD,2050,30 June 1943,"decommissioned 1960, sunk as target"
Capetown,ENG,C,CL,4200,10 April 1922,Scrapped June 1946
Capilano,Royal Canadian Navy,River,FF,1445,25 August 1944,paid off 24 November 1945
Capitan O'Brien,CHL,Capitan O'Brien,SS,2020,1929,1957
Capitan Thompson,CHL,Capitan O'Brien,SS,2020,1929,1958
Capps,USA,Fletcher,DD,2050,23 June 1943,"To Spain 1957, scrapped 1985"
Caprice,ENG,C,DD,1710,5 April 1944,"paid off March 1973, scrapped 1979"
Captor,USA,,Q-ship,319,5 March 1942,paid off 4 October 1944
Caradoc,ENG,C,CL,4180,15 June 1917,scrapped 1946
Card,USA,Bogue,CVE,9800,8 November 1942,scrapped 1971
Cardiff,ENG,C,CL,4290,25 June 1917,scrapped 1946
Carinthia,ENG,,Armed Merchant Cruiser,20277,August 1939,"torpedoed 6 June 1940, foundered the next day"
Carlisle,ENG,C,CL,4200,11 November 1918,"constructive total loss 9 October 1942, scrapped 1948"
Carlplace,Royal Canadian Navy,River,FF,1445,13 December 1944,paid off 13 December 1945
Carlson,USA,Evarts,DE,1140,10 May 1943,scrapped 1946
Carmick,USA,Gleaves,DE,1630,28 December 1942,"decommissioned 1954, scrapped 1972"
Carnation,Royal Navy  Royal Netherlands Navy,Flower,K,925,22 February 1941[6],"transferred to Netherlands 24 March 1943, paid off 4 October 1944"
Carroll,USA,Cannon,DE,1240,24 October 1943,"decommissioned 1946, scrapped 1966"
Carron,ENG,C,DD,1710,6 November 1944,"paid off March 1963, scrapped 1967"
Carter,USA,Cannon,DE,1240,3 May 1944,"to Republic of China 1948, scrapped 1973"
Carysfort,ENG,C,DD,1710,20 February 1945,"paid off February 1969, scrapped 1970"
Casablanca,USA,Casablanca,CVE,7800,8 July 1943,"Decommissioned 10 June 1946, scrapped 1947"
Case,USA,Mahan,DD,1450,15 September 1936,scrapped 1948
Cassandra,ENG,C,DD,1710,28 July 1944,"paid off January 1966, scrapped 1967"
Cassin,USA,Mahan,DD,1450,21 August 1936,"destroyed 7 December 1941 but ""rebuilt,"" scrapped 1948"
Cassin Young,USA,Fletcher,DD,2050,31 December 1943,"decommissioned 1960, museum ship at Boston, MA"
Castleton,ENG,Town,DD,1190,9 September 1940,scrapped 1947
Catamarca,Argentine Navy,Catamarca,DD,1010,ca.1912,Sold 1959
Cates,USA,Cannon,DE,1240,15 December 1943,"to France 1950, scrapped 1959"
Catterick,ENG,Hunt,DE,1050,12 June 1942,"to Greece 1946, scrapped 1963"
Cattistock,ENG,Hunt,DE,1000,22 July 1940,"paid off 26 March 1946, scrapped 1957"
Cauvery,Royal Indian Navy,Black Swan,SL,1350,26 August 1943,1977
Cavalier,ENG,C,DD,1710,22 November 1944,Paid off July 1972; museum ship at Chatham
Cavalla,USA,Gato,SS,"1,525 surfaced",29 February 1944,"decommissioned 1968; museum at Galveston, Texas"
Cavendish,ENG,C,DD,1710,13 December 1944,"paid off 1964, scrapped 1967"
Cayuga,Royal Canadian Navy,Tribal,DD,1850,20 October 1947,"built and launched during the war, paid off 27 February 1964"
Cecil J. Doyle,USA,Butler,DE,1350,16 October 1944,"decommissioned 1946, sunk as target 1967"
Celandine,ENG,Flower,K,925,30 April 1941[6],
Ceres,ENG,C,CL,4290,1 June 1917,scrapped 1946
Cervantes,Argentine Navy,Cervantes,DD,1522,3 September 1927,Struck 24 June 1961
Ceylon,ENG,Fiji,CL,8800,13 July 1943,"sold to Peru 1959, renamed Colonel Bolognesi"
Chacabuco,CHL,Presidente Errazuriz,protected cruiser,4500,1902,struck December 1959
Chaffee,USA,Rudderow,DE,1450,9 May 1944,"decommissioned 1946, scrapped 1948"
Chambers,USA,Edsall,DE,1250,24 November 1943,scrapped 1975
Chambly,Royal Canadian Navy,Flower,K,925,18 December 1940,paid off 20 June 1945
Champlin,USA,Benson,DD,1620,12 September 1942,"decommissioned 1947, scrapped 1972"
Chandler,USA,Clemson,DAM,1200,5 September 1919,scrapped 1946
Chao Ho,Republic of China Navy,Chao Ho,C,2750,23 October 1911,sunk 28 September 1937
Chaplet,ENG,C,DD,1710,24 August 1945,Laid up 1961. Sold for scrapping 1965.[7]
Charger,USA,Avenger,CVE,8200,3 March 1942,"paid off 15 March 1946, scrapped 1969"
Charles Ausburne,USA,Fletcher,DD,2050,24 November 1942,scrapped 1968
Charles E. Brannon,USA,Butler,DE,1350,1 November 1944,"decommissioned 1960, scrapped 1969"
Charles F. Hughes,USA,Benson,DD,1620,5 September 1940,"decommissioned 1946, sunk as target 1969"
Charles J. Badger,USA,Fletcher,DD,2050,23 July 1943,"decommissioned 1957, scrapped 1974"
Charles J. Kimmel,USA,Rudderow,DE,1450,20 April 1944,"decommissioned 1947, sunk as target 1969"
Charles Lawrence,USA,Buckley,DE,1400,31 May 1943,scrapped 1965
Charles P. Cecil,USA,Gearing,DD,2250,29 June 1945,"to Greece 1980, scrapped 2003"
Charles R. Greer,USA,Evarts,DE,1140,25 June 1943,scrapped 1947
Charles R. Ware,USA,Gearing,DD,2250,21 July 1945,"decommissioned 1974, sunk as target 1981"
Charles S. Sperry,USA,Sumner,DD,2200,17 May 1944,"to Chile 1974, scrapped 1990"
Charlestown,ENG,Town,DD,1190,23 September 1940,scrapped 1947[8]
Charlock,Royal Navy  Royal Indian Navy,Flower modified,K,1015,March 1944,"to RIN post-war, paid off 1947"
Charlottetown (I),Royal Canadian Navy,Flower modified,K,1015,13 December 1941,sunk on 11 September 1942 by U-517
Charlottetown (II),Royal Canadian Navy,River,FF,1445,28 April 1944,paid off 25 March 1947
Charrette,USA,Fletcher,DD,2050,18 May 1943,"to Greece 1959, museum ship at Athens"
Chase,USA,Buckley,DE,1400,18 July 1943,scrapped 1946
Chaser,ENG,Avenger,CVE,11400,9 April 1943,"paid off 12 May 1946, sold into merchant service, scrapped 1972/3"
Chatelain,USA,Edsall,DE,1250,22 September 1943,scrapped 1974
Chatsgrove,ENG,P,Special Service ship,610,1918,broken up 1948
Chauncey,USA,Fletcher,DD,2050,31 May 1943,"decommissioned 1954, scrapped 1972"
Chebogue,Royal Canadian Navy,River,FF,1445,22 February 1944,paid off 25 September 1945
Chelsea,Royal Navy  Royal Canadian Navy  Soviet Navy,Town,DD,1190,9 September 1940,"to Canada November 1942, to USSR July 1944 as Derzkiy"
Chenango,USA,Sangamon,CVE,11400,20 June 1941,"decommissioned 1946, scrapped 1960"
Chequers,ENG,C,DD,1710,28 September 1945,scrapped 1966.
Chervona Ukraina,Soviet Navy,Svetlana,CL,7600,3 October 1913,Sunk 12 November 1941
Chester,USA,Northampton,CA,9200,24 June 1930,scrapped 1959
Chester T. O’Brien,USA,Butler,DE,1350,3 July 1944,"decommissioned 1959, scrapped 1974"
Chesterfield,ENG,Town,DD,1190,9 September 1940,scrapped 1947
Chevalier (I),USA,Fletcher,DD,2050,20 June 1942,sunk 7 October 1943
Chevalier (II),USA,Gearing,DD,2250,9 January 1945,to South Korea 1977
Chevron,ENG,C,DD,1710,23 August 1945,scrapped 1969
Chew,USA,Wickes,DD,1190,12 December 1918,scrapped 1946
Chicago (I),USA,Northampton,CA,9200,9 March 1931,sunk 30 January 1943
Chicago (II),USA,Baltimore,CA,17200,10 January 1945,"converted to missile cruiser 1964, decommissioned 1980, scrapped 1992"
Chicoutimi,Royal Canadian Navy,Flower,K,925,12 May 1941,paid off 16 June 1945
Chiddingfold,ENG,Hunt,DE,1050,October 1941,"paid off April 1952, scrapped 1975"
Chieftain,ENG,C,DD,1710,7 March 1946,Scrapped 1961
Chikuma,JPN,Tone,CA,15200,30 May 1939,sunk 25 October 1944
Chilliwack,Royal Canadian Navy,Flower,K,925,8 April 1941,paid off 14 July 1945
Chitose,JPN,Chitose,CVL,11190,25 July 1938,sunk 25 October 1944
Chiyoda,JPN,Chitose,CVL,11190,15 December 1938,sunk 25 October 1944
Christopher,United States Navy  Brazilian Navy,Cannon,DE,1240,23 October 1943,to Brazil 19 December 1944 as Benevente
Chrysanthemum,ENG,Flower,K,925,1941,sold 1947
Churchill,Royal Navy  Soviet Navy,Town,DD,1190,9 September 1940,"to USSR as Deyatelny 16 July 1944, sunk 16 January 1945"
Chōkai,JPN,Takao,CA,15781,1932,sunk 25 October 1944
Chūyō,JPN,Taiyō,CVE,18116,25 November 1942,sunk 4 December 1943
Cincinnati,USA,Omaha,CL,7050,1 January 1924,scrapped 1946
Clare,ENG,Town,DD,1190,9 September 1940,scrapped 1945
Clarence K. Bronson,USA,Fletcher,DD,2050,11 June 1943,"to Turkey 1967, scrapped 1987"
Clarence L. Evans,USA,Cannon,DE,1240,25 June 1944,"to France 1952, scrapped 1960"
Clark,USA,Porter,DD,1850,20 May 1936,scrapped 1946
Clarkia,ENG,Flower,K,925,22 April 1940,scrapped 1947
Claxton,USA,Fletcher,DD,2050,8 December 1942,To West Germany 1959
Clematis,ENG,Flower,K,925,27 July 1940[6],scrapped 1949
Clemson,USA,Clemson,DD,1250,29 December 1919,Decommissioned 12 October 1945
Cleveland,ENG,Hunt,DE,1000,1940,"paid off 26 March 1946, scrapped 1959"
Cleveland,USA,Cleveland,CL,10000,15 June 1942,"decommissioned 7 February 1947, scrapped 1960"
Clive,Royal Indian Navy,,SL,2083,20 April 1920,1947
Cloues,USA,Evarts,DE,1140,10 August 1943,scrapped 1947
Clover,ENG,Flower,K,925,13 May 1941,
Clyde,ENG,River,SS,2206,1935,paid off 30 July 1946
Coates,USA,Rudderow,DE,1450,24 January 1944,"decommissioned 1970, sunk as target 1971"
Coaticook,Royal Canadian Navy,River,FF,1445,25 July 1944,paid off 29 November 1945
Cobalt,Royal Canadian Navy,Flower,K,925,25 November 1940,paid off 17 June 1945
Cobourg,Royal Canadian Navy,Flower modified,K,1015,11 May 1944,15 June 1945
Cochin,Royal Indian Navy,Basset,AM,529,1941–1944,1941–1944
Cockade,ENG,C,DD,1885,29 September 1945,"Paid off 1958, scrapped 1964"
Cockrill,USA,Edsall,DE,1250,24 December 1943,"decommissioned 1946, sunk as target 1974"
Codrington,ENG,A,destroyer leader,1350,4 June 1930,sunk 27 July 1940
Cofer,USA,Buckley,DE,1400,18 January 1944,"decommissioned 1946, scrapped 1968"
Coffman,USA,Cannon,DE,1240,27 December 1943,"decommissioned 1946, scrapped 1973"
Coghlan,USA,Benson,DD,1620,10 July 1942,"decommissioned 1947, scrapped 1974"
Cogswell,USA,Fletcher,DD,2050,17 August 1943,"to Turkey 1969, scrapped 1980"
Colahan,USA,Fletcher,DD,2050,23 August 1943,sunk as target 1966
Colbert,FRA,Suffren,CA,10000,4 March 1931,scuttled 27 November 1942
Cole,USA,Wickes,DD,1190,19 June 1919,scrapped 1947
Colhoun (I),USA,Wickes,DD,1060,13 June 1918,sunk 30 August 1942
Colhoun (II),USA,Fletcher,DD,2050,8 July 1944,Sunk 6 April 1945
Collett,USA,Sumner,DD,2200,16 May 1944,to Argentina 1974
Collingwood,Royal Canadian Navy,Flower,K,925,19 November 1940,paid off 23 July 1945
Colombo,ENG,C,CL,4200,18 June 1919,scrapped 1948
Colossus,ENG,Colossus,CV,13200,16 December 1944,"transferred to France, renamed Arromanches 6 August 1946"
Coltsfoot,ENG,Flower,K,925,1 November 1941,
Columbia,Royal Canadian Navy,Town,DD,1060,24 September 1940,paid off August 1945
Columbia,USA,Cleveland,CL,11800,29 July 1942,scrapped 1959
Columbine,ENG,Flower,K,925,9 November 1940[6],
Columbus,USA,Baltimore,CA,17200,8 June 1945,"converted to missile cruiser 1962, scrapped 1977"
Combattante,Free French Naval Forces,Hunt,DE,1050,30 December 1942,sunk 23 February 1945
Comet,ENG,C,DD,1885,6 June 1945,"Paid off 1958, scrapped 1962"
Commandant d'Estienne d'Orves,Free French Naval Forces,Flower,K,925,23 May 1942,31 May 1947
Commandant Detroyat,Free French Naval Forces,Flower,K,925,16 September 1941,1947
Commandant Drogou,Free French Naval Forces,Flower,K,925,15 January 1942,May 1947
Commencement Bay,USA,Commencement Bay,CVE,11373,27 November 1944,"Decommissioned 30 November 1946, scrapped 1971"
Compton,USA,Sumner,DD,2200,4 November 1944,"to Brazil 1972, scrapped 1990"
Concord,USA,Omaha,CL,7050,3 November 1923,scrapped 1947
Cone,USA,Gearing,DD,2250,18 August 1945,"to Pakistan 1982, scrapped 1998"
Conklin,USA,Butler,DE,1350,21 April 1944,"decommissioned 1946, scrapped 1972"
Conner (II),USA,Fletcher,DD,2050,8 June 1943,"to Greece 1959, scrapped 1997"
Connolly,USA,Evarts,DE,1140,8 July 1944,scrapped 1947
Conrad,Royal Navy  Polish Navy,D,CL,4850,4 October 1944,"returned to Royal Navy 28 September 1946, scrapped March 1948"
Conte di Cavour,Regia Marina,Conte di Cavour,dreadnought,26140,1915,"captured 10 September 1943 by Germany, scrapped 1946"
Contest,ENG,C,DD,1885,9 November 1945,scrapped 1960
Converse,USA,Fletcher,DD,2050,20 November 1942,"to Spain 1959, scrapped 1988"
Convolvulus,ENG,Flower,K,925,26 February 1941[6],
Conway,USA,Fletcher,DD,2050,9 October 1942,sunk as target 1970
Cony,USA,Fletcher,DD,2050,30 October 1942,sunk as target 1970
Conyngham,USA,Mahan,DD,1450,4 November 1936,scuttled 1948 after A-bomb test
Coolbaugh,USA,Buckley,DE,1400,15 October 1943,"decommissioned 1960, scrapped 1973"
Cooner,USA,Cannon,DE,1240,21 August 1943,"decommissioned 1946, scrapped 1973"
Cooper,USA,Sumner,DD,2200,9 February 1944,sunk 3 December 1944
Copahee,USA,Bogue,CVE,9800,15 June 1942,"decommissioned 1946, scrapped 1961"
Coral Sea,USA,Casablanca,CVE,9600,27 August 1943,"renamed Anzio, decommissioned 1946, scrapped 1959"
Core,USA,Bogue,CVE,9800,10 December 1942,"decommissioned 1946, scrapped 1971"
Coreopsis,Royal Navy  Hellenic Navy,Flower,K,925,August 1940,"to Greece as Kriezis 10 November 1943, out of service 1952"
Coriander,ENG,Flower,K,925,16 September 1941,scrapped 1948
Cornwallis,Royal Indian Navy,Cornwallis,SL,1290,1921,Scrapped 1946
Coronel,GER,,MC,12700,13 August 1938,ran aground 21 November 1984
Corregidor,USA,Casablanca,CVE,10400,31 August 1943,scrapped 1959
Corrientes,Argentine Navy,Buenos Aires,DD,1375,,Lost 3 October 1941
Corry,USA,Gleaves,DD,1630,18 December 1941,sunk 6 June 1944
Cossack (I),ENG,Tribal,DD,2020,7 June 1938,sunk 24 October 1941
Cossack (II),ENG,C,DD,1885,4 September 1945,scrapped 1961
Cotswold,ENG,Hunt,DE,1050,16 November 1940,"paid off 1946, scrapped 1957"
Cotten,USA,Fletcher,DD,2050,24 July 1943,"decommissioned 1960, scrapped 1975"
Cottesmore,ENG,Hunt,DE,1050,29 December 1940,"paid off 28 February 1946, scrapped 1951"
Courageous,ENG,Glorious,CV,22500,4 November 1916,sunk 17 September 1939
Courbet,French Navy  Free French Naval Forces,Courbet,dreadnought,23200,November 1913,"scuttled as a ""Gooseberry"" breakwater 6 June 1944"
Coventry,ENG,C,CL,4290,21 February 1918,lost 14 September 1942
Cowell,USA,Fletcher,DD,2050,23 August 1943,"to Argentina 1971, scrapped 1982"
Cowie,USA,Gleaves,DD,1630,1 June 1942,"decommissioned 1947, scrapped 1972"
Cowpens,USA,Independence,CVL,11000,28 May 1943,"decommissioned 13 January 1947, scrapped 1960"
Cowslip,ENG,Flower,K,925,9 August 1941,
Crane,USA,Wickes,DD,1190,18 April 1919,scrapped 1946
Craven,USA,Gridley,DD,1590,2 September 1937,scrapped 1947
Crescent,Royal Canadian Navy,C,DD,1900,21 August 1945,"delivered to Canada January 1945, scrapped 1971"
Croatan,USA,Bogue,CVE,9800,28 April 1943,"decommissioned 1946, scrapped 1971"
Crocus,ENG,Flower,K,925,20 October 1940[6],
Cronin,USA,Buckley,DE,1400,5 May 1944,sunk as target 1971
Croome,ENG,Hunt,DE,1000,29 June 1941,"paid off October 1945, scrapped 1957"
Crosby,USA,Wickes,DD,1190,24 January 1919,scrapped 1946
Cross,USA,Butler,DE,1350,8 January 1945,"decommissioned 1958, scrapped 1968"
Crouter,USA,Evarts,DE,1140,25 May 1943,scrapped 1947
Crowley,USA,Evarts,DE,1140,25 March 1944,scrapped 1947
Crusader,Royal Canadian Navy,C,DD,1900,26 November 1945,"delivered to Canada January 1945, scrapped 1971"
Cuba,Cuba,,SL,2055,c.1911,stricken 1971
Cummings,USA,Mahan,DD,1450,25 November 1936,scrapped 1947
Curacoa,ENG,C-class light cruiser,,4290,18 February 1918,lost 2 October 1942
Curie,Royal Navy  Free French Naval Forces,U,SS,540,2 May 1943,"returned to Royal Navy July 1946, paid off May 1949"
Curlew,ENG,C,CL,4290,14 December 1917,lost 26 May 1940
Currier,USA,Buckley,DE,1400,1 February 1944,sunk as target 1967
Cushing (I),USA,Mahan,DD,1450,28 August 1936,sunk 13 November 1942
Cushing (II),USA,Fletcher,DD,2050,17 January 1944,"to Brazil 1961, scrapped 1982"
Cuttack,Royal Indian Navy,Basset,AM,529,1941–1944,1941–1944
Cyclamen,ENG,Flower,K,925,30 September 1940[6],
Cyprus,ENG,,Special Service Ship,4398,,paid off March 1941
