Section,create_equipment_variant,name,type,name_group,parent_version,design_team,obsolete,icon,ship_mtg_naval_range_upgrade,ship_mtg_armor_sub_upgrade,ship_mtg_engine_upgrade,ship_mtg_armor_upgrade,ship_anti_air_upgrade,ship_mtg_mid_engine_upgrade,ship_mtg_light_engine_upgrade,ship_mtg_carrier_engine_upgrade,ship_mtg_deck_space_upgrade,ship_mtg_hevy_engine_upgrade,ship_ASW_upgrade,ship_mtg_sp_hevy_engine_upgrade,submarine_mtg_engine_upgrade,mid_1_custom_slot,fixed_ship_deck_slot_2,fixed_ship_anti_air_slot,fixed_ship_battery_slot,rear_1_custom_slot,fixed_ship_engine_slot,fixed_ship_torpedo_slot,mid_2_custom_slot,front_1_custom_slot,fixed_ship_radar_slot,fixed_ship_torpedo_depth_charge_slot,fixed_ship_deck_slot_1,fixed_ship_fire_control_system_slot,fixed_ship_armor_slot,fixed_ship_secondaries_slot
siam_navy,create_equipment_variant,Chakri Naruebet Class,ship_hull_carrier_1,SIA_HISTORICAL_CV,,,,,6,5,3,6
siam_navy,create_equipment_variant,Great Pleiades Class,ship_hull_cruiser_coastal_defense_ship_2,SIA_HISTORICAL_BB,,,,,10,10,7,,
siam_navy,create_equipment_variant,Dhonburi Class,ship_hull_cruiser_coastal_defense_ship_1,SIA_HISTORICAL_BB,,,,,8,6,10,,
siam_navy,create_equipment_variant,Sri Ayuthia Class,ship_hull_cruiser_2,SIA_HISTORICAL_CA,0,,,,4,5,8,,
siam_navy,create_equipment_variant,Doi Ang Khang Class,ship_hull_cruiser_1,SIA_HISTORICAL_CA,0,,,,4,5,8,,
siam_navy,create_equipment_variant,Phu Kradueng Class,ship_hull_cruiser_1,SIA_HISTORICAL_CA,0,,,,4,6,8,,
siam_navy,create_equipment_variant,Taksin Class,ship_hull_cruiser_1,SIA_HISTORICAL_CL,0,,,,3,,3,,
siam_navy,create_equipment_variant,Bali Class,ship_hull_cruiser_2,SIA_HISTORICAL_CL,0,,,,3,2,4,,
siam_navy,create_equipment_variant,Maeklong Class,ship_hull_frigate_2,SIA_HISTORICAL_DD,,,,,10,10,,5,,,,5
siam_navy,create_equipment_variant,Phra Ruang Class,ship_hull_light_0,SIA_HISTORICAL_DD,,,,,6,,0,,,5,,,
siam_navy,create_equipment_variant,Prap Porapak Class,ship_hull_light_1,SIA_HISTORICAL_DD,,,,,4,,1,,,5,,,
siam_navy,create_equipment_variant,Kechon Class,ship_hull_light_1,SIA_HISTORICAL_DD,,,,,5,,2,,,6,,,
siam_navy,create_equipment_variant,Ratnakosindra Class,ship_hull_micro,,,,,,8,8,,,,,,,
siam_navy,create_equipment_variant,Trad Class,ship_hull_frigate_2,SIA_HISTORICAL_DD,,,,,10,8,,3,,,,,3
siam_navy,create_equipment_variant,Sua Thayan Chon Class,ship_hull_frigate_2,SIA_HISTORICAL_DD,,,,,10,8,,2,,,,,5
siam_navy,create_equipment_variant,Sriya Monthon Class,ship_hull_frigate_2,SIA_HISTORICAL_DD,,,,,10,8,,2,,,,,5
siam_navy,create_equipment_variant,Matchanu Class,ship_hull_submarine_1,PHI_HISTORICAL_SS,0,,,,2,,,,,,,,,4
siam_navy,create_equipment_variant,Sunthorn Phu Class,ship_hull_cruiser_submarine,SIA_HISTORICAL_SS,0,,,,5,,,,,,,,,3
england_navy,create_equipment_variant,V Class,ship_hull_light_2,ENG_HISTORICAL_DD,,,,,6,,2,,,6,,,,,
england_navy,create_equipment_variant,W Class,ship_hull_light_2,ENG_HISTORICAL_DD,,,,,6,,2,,,6,,,,,
england_navy,create_equipment_variant,Z Class,ship_hull_light_2,ENG_HISTORICAL_DD,,,,,6,,2,,,6,,,,,
england_navy,create_equipment_variant,Third C Class,ship_hull_light_2,ENG_HISTORICAL_DD,,,,,4,,0,,,6,,,,,
england_navy,create_equipment_variant,Prophase Battle Class,ship_hull_light_2,CAN_HISTORICAL_DD,,,,,4,,0,,,5,,,,,
england_navy,create_equipment_variant,Late Battle Class,ship_hull_light_2,ENG_HISTORICAL_DD,,,,,4,,0,,,6,,,,,
england_navy,create_equipment_variant,Weapon Class,ship_hull_light_2,ENG_HISTORICAL_DD,,,,,4,,1,,,6,,,,,
england_navy,create_equipment_variant,Hunt II Class,ship_hull_light_1,ENG_HISTORICAL_DD,,,,,2,,0,,,3,,,,,
england_navy,create_equipment_variant,Hunt II Class,ship_hull_light_1,ENG_HISTORICAL_DD,,,,,2,,0,,,3,,,,,
england_navy,create_equipment_variant,Type 15 Class,ship_hull_light_1,ENG_HISTORICAL_DD,,,,,5,,3,,,7,,,,,
england_navy,create_equipment_variant,Type 16 Class,ship_hull_light_2,ENG_HISTORICAL_DD,,,,,5,,3,,,7,,,,,
england_navy,create_equipment_variant,Type 17 Class,ship_hull_light_2,ENG_HISTORICAL_DD,,,,,5,,3,,,7,,,,,
england_navy,create_equipment_variant,Cricket Class,ship_hull_light_0_old,ENG_HISTORICAL_DD,,,,,3,,,,,4,,,,,
england_navy,create_equipment_variant,River Class,ship_hull_frigate_1,ENG_HISTORICAL_DD,,,,,0,1,,,,,,,,,
england_navy,create_equipment_variant,Loch Class,ship_hull_frigate_1,ENG_HISTORICAL_DD,,,,,3,3,,,,,,,,,
england_navy,create_equipment_variant,Bay Class,ship_hull_frigate_1,ENG_HISTORICAL_DD,,,,,3,3,,,,,,,,,
england_navy,create_equipment_variant,Flower Class,ship_hull_frigate_1,ENG_HISTORICAL_DD,,,,GFX_Flower,3,3,,,,,,,,,
england_navy,create_equipment_variant,Castle Class,ship_hull_frigate_2,ENG_HISTORICAL_DD,,,,,4,4,,,,,,,,,
england_navy,create_equipment_variant,Black Swan Class,ship_hull_frigate_2,ENG_HISTORICAL_DD,,,,,4,4,,,,,,,,,
england_navy,create_equipment_variant,Grimsby Class,ship_hull_frigate_2,ENG_HISTORICAL_DD,,,,,2,2,,,,,,,,,
england_navy,create_equipment_variant,S Class,ship_hull_submarine_1,ENG_HISTORICAL_SS,1,,,,,,,,,,,,,,1
england_navy,create_equipment_variant,T Class,ship_hull_submarine_1,ENG_HISTORICAL_SS,1,,,,,,,,,,,,,,2
england_navy,create_equipment_variant,U Class,ship_hull_submarine_1,ENG_HISTORICAL_SS,,,,,,,,,,,,,,,3
england_navy,create_equipment_variant,V Class,ship_hull_submarine_1,ENG_HISTORICAL_SS,,,,,2,,,,,,,,,,3
england_navy,create_equipment_variant,A Class,ship_hull_submarine_2,ENG_HISTORICAL_SS,,,,,2,,,,,,,,,,3
england_navy,create_equipment_variant,X Class,ship_hull_miget_sub,ENG_HISTORICAL_SS,,,,,2,,,,,,,,,,3
canada_navy,create_equipment_variant,Queen Elizabeth Class,ship_hull_heavy_0,CAN_HISTORICAL_BB,0,,,,3,,5,,,,,,5,,
canada_navy,create_equipment_variant,Revenge Class,ship_hull_heavy_0,CAN_HISTORICAL_BB,0,,,,5,,5,,,,,,5,,
canada_navy,create_equipment_variant,Unicorn Class,ship_hull_light_carrier_1,CAN_HISTORICAL_CV,0,,,,4,,2,,,,1,3,,,
canada_navy,create_equipment_variant,Majestic Class,ship_hull_light_carrier_1,CAN_HISTORICAL_CV,0,,,,5,,2,,,,2,3,,,
canada_navy,create_equipment_variant,Leander Class,ship_hull_cruiser_1,CAN_HISTORICAL_CL,0,,,,5,,1,,5,,,,,,
canada_navy,create_equipment_variant,Arethusa Class,ship_hull_cruiser_1,CAN_HISTORICAL_CL,0,,,,3,,0,,5,,,,,,
canada_navy,create_equipment_variant,Abdiel Class,ship_hull_cruiser_1,CAN_HISTORICAL_CL,0,,,,3,,1,,5,,,,,,
canada_navy,create_equipment_variant,La Melpomene Class,ship_hull_large_frigate,CAN_HISTORICAL_DD,0,,,,3,,0,,,4,,,,,
canada_navy,create_equipment_variant,Tribal II Class,ship_hull_light_1,CAN_HISTORICAL_DD,0,,,,2,,0,,,4,,,,,
canada_navy,create_equipment_variant,Bourrasque Class,ship_hull_light_1,CAN_HISTORICAL_DD,0,,,,0,,0,,,3,,,,,
canada_navy,create_equipment_variant,Hunt II Class,ship_hull_light_1,CAN_HISTORICAL_DD,0,,,,2,,0,,,0,,,,,
canada_navy,create_equipment_variant,Hunt III Class,ship_hull_light_1,CAN_HISTORICAL_DD,0,,,,2,,0,,,0,,,,,
canada_navy,create_equipment_variant,O Class,ship_hull_light_1,CAN_HISTORICAL_DD,0,,,,3,,0,,,5,,,,,
canada_navy,create_equipment_variant,V Class,ship_hull_light_2,CAN_HISTORICAL_DD,0,,,,4,,0,,,6,,,,,
canada_navy,create_equipment_variant,Prophase Battle Class,ship_hull_light_2,CAN_HISTORICAL_DD,0,,,,4,,0,,,5,,,,,
canada_navy,create_equipment_variant,Cr A Class,ship_hull_light_2,CAN_HISTORICAL_DD,0,,,,4,,0,,,6,,,,,
canada_navy,create_equipment_variant,Cr B Class,ship_hull_light_2,CAN_HISTORICAL_DD,0,,,,4,,0,,,6,,,,,
canada_navy,create_equipment_variant,Roberts Class,ship_hull_monitor_2,CAN_HISTORICAL_BB,0,,,,3,,5,,5,,,,,,
china_navy,create_equipment_variant,Shenyang Class,ship_hull_pre_dreadnought_0,CHI_HISTORICAL_BB,0,,,,3,,4,,,,,,5,,
china_navy,create_equipment_variant,Chóngqìng Class,ship_hull_pre_dreadnought_0,CHI_HISTORICAL_BB,,,,,3,,4,,,,,,5,,
china_navy,create_equipment_variant,Hénán Class,ship_hull_pre_dreadnought_0,CHI_HISTORICAL_BB,,,,,3,,4,,,,,,5,,
china_navy,create_equipment_variant,Peng Chao Hai Class,ship_hull_cruiser_coastal_defense_ship_1,CHI_HISTORICAL_BB,,,,,6,,4,,1,,,,,,
china_navy,create_equipment_variant,Chin Ou Class,ship_hull_cruiser_coastal_defense_ship_1,CHI_HISTORICAL_BB,,,,,6,,4,,1,,,,,,
china_navy,create_equipment_variant,Chen Hai Class,ship_hull_cruiser_0_remodeling,CHI_HISTORICAL_CL,,,,,6,,4,,1,,,,,,
china_navy,create_equipment_variant,Chiangtzu Class,ship_hull_cruiser_1,CHI_HISTORICAL_CL,0,,,,1,,,,3,,,,,,
china_navy,create_equipment_variant,Fei Yuan Class,ship_hull_cruiser_defenced_cruiser,CHI_HISTORICAL_CL,,,,,6,,4,,1,,,,,,
china_navy,create_equipment_variant,Hai Yung Class,ship_hull_cruiser_defenced_cruiser,CHI_HISTORICAL_CL,,,,,4,,4,,1,,,,,,
china_navy,create_equipment_variant,Hai Tien Class,ship_hull_cruiser_defenced_cruiser,CHI_HISTORICAL_CA,,,,,4,,4,,1,,,,,,
china_navy,create_equipment_variant,Chao Ho Class,ship_hull_cruiser_defenced_cruiser,CHI_HISTORICAL_CL,,,,,4,,4,,1,,,,,,
china_navy,create_equipment_variant,Wei Yuen Class,ship_hull_cruiser_defenced_cruiser,CHI_HISTORICAL_CL,,,,,4,,4,,1,,,,,,
china_navy,create_equipment_variant,Ning Hai Class,ship_hull_cruiser_scout_cruiser,CHI_HISTORICAL_CL,,,,,4,,4,,1,,,,,,
china_navy,create_equipment_variant,Fei Ting Class,ship_hull_cruiser_0_transport_remodeling,CHI_HISTORICAL_CL,,,,,5,,1,,5,,,,,,
china_navy,create_equipment_variant,Fei Ying Class,ship_hull_cruiser_0_transport_remodeling,CHI_HISTORICAL_CL,,,,,5,,1,,5,,,,,,
china_navy,create_equipment_variant,Hai Hola Class,ship_hull_light_2,CHI_HISTORICAL_DD,,,,,5,,2,,,5,,,,,
china_navy,create_equipment_variant,Hai Lung Class,ship_hull_light_2,CHI_HISTORICAL_DD,,,,,5,,2,,,5,,,,,
china_navy,create_equipment_variant,Hai Nju Class,ship_hull_light_2,CHI_HISTORICAL_DD,,,,,5,,2,,,5,,,,,
china_navy,create_equipment_variant,Chang Feng Class,ship_hull_light_0,CHI_HISTORICAL_DD,,,,,5,,2,,,5,,,,,
china_navy,create_equipment_variant,Chen Tung Class,ship_hull_light_1,CHI_HISTORICAL_DD,,,,,5,,2,,,5,,,,,
china_navy,create_equipment_variant,Kuan Chuan Class,ship_hull_light_monitor,CHI_HISTORICAL_DD,,,,,5,5,5,,,,,,,,
china_navy,create_equipment_variant,Yi Xian Class,ship_hull_light_monitor,CHI_HISTORICAL_DD,,,,,5,5,5,,,,,,,,
china_navy,create_equipment_variant,Yongjian Class,ship_hull_light_monitor,CHI_HISTORICAL_DD,,,,,5,5,5,,,,,,,,
china_navy,create_equipment_variant,Yung Hsiang Class,ship_hull_light_monitor,CHI_HISTORICAL_DD,,,,,5,5,5,,,,,,,,
china_navy,create_equipment_variant,U-Boot Class IIA,ship_hull_submarine_1,GER_HISTORICAL_SS,0,,,,,1,,,,,,,,,,2
china_navy,create_equipment_variant,U-Boot Class VIIB,ship_hull_submarine_2,GER_HISTORICAL_SS,0,,,,7,3,,4,,,,,,,,4
china_navy,create_equipment_variant,U-Boot Class VIIC,ship_hull_submarine_2,GER_HISTORICAL_SS,0,,,,7,3,,5,,,,,,,,4
