Section,name,type,name_group,parent_version,design_team,obsolete,icon,ship_ASW_upgrade,ship_anti_air_upgrade,ship_mtg_armor_sub_upgrade,ship_mtg_armor_upgrade,ship_mtg_carrier_engine_upgrade,ship_mtg_deck_space_upgrade,ship_mtg_engine_upgrade,ship_mtg_hevy_engine_upgrade,ship_mtg_light_engine_upgrade,ship_mtg_mid_engine_upgrade,ship_mtg_naval_range_upgrade,submarine_mtg_engine_upgrade,fixed_ship_anti_air_slot,fixed_ship_armor_slot,fixed_ship_battery_slot,fixed_ship_deck_slot_1,fixed_ship_deck_slot_2,fixed_ship_deck_slot_3,fixed_ship_engine_slot,fixed_ship_fire_control_system_slot,fixed_ship_missile_slot,fixed_ship_radar_slot,fixed_ship_secondaries_slot,fixed_ship_sonar_slot,fixed_ship_sub_snorkel_slot,fixed_ship_torpedo_depth_charge_slot,fixed_ship_torpedo_slot,front_1_custom_slot,front_2_custom_slot,mid_1_custom_slot,mid_2_custom_slot,mid_3_custom_slot,rear_1_custom_slot,rear_2_custom_slot
GER_Hamburg_Class,Hamburg Class,ship_hull_light_3,GER_HISTORICAL_DD,0,,,,,,,4,,,,,6,,4,,ship_dp_Bofors_battery_3,,ship_light_battery_2,,,,SM_engine_5,ship_sonar_4,,ship_radar_4,,,,,ship_torpedo_2,ship_anti_ship_missile_1,,ship_light_battery_2,,,ship_light_battery_2,
Adolf_Hitler_Class,Adolf Hitler Class,ship_hull_carrier_3,GER_HISTORICAL_CV,,,,,,,,10,8,6,,,,,2,,,sm_armor_4,,steam_catapult,angled_deck,angled_deck,SM_engine_4,ship_fire_control_system_3,ship_anti_ship_missile_1,ship_radar_4,,,,,,dp_GER_light_batteryx4,,ship_secondaries_6,ship_secondaries_6,,,
GER_Rostock_Class,Rostock Class,ship_hull_cruiser_3,GER_HISTORICAL_CA,0,,,,,,,4,,,,,,8,3,,ship_anti_air_4,sm_armor_2,ship_GER_medium_battery,,,,SM_engine_3,ship_fire_control_system_2,,ship_radar_5,,,,,,ship_GER_medium_battery,,ship_torpedo_4,ship_GER_medium_battery,,ship_GER_medium_battery,
SIN_singapore_Class,Singapore Class,ship_hull_frigate_2,,,,,,,,,,,,1,,,,1,,ship_old_anti_air_2,,ship_ENG_light_battery_2,,,,SM_engine_2,,,ship_radar_2,,,,ship_anti_submarine_rocket_1,,,,,,,,
kongo_missile_class,Kongo Class,ship_hull_heavy_1,JAP_HISTORICAL_BB,0,,,,,,,2,,,,5,,,5,,ship_anti_air_missile_1,sm_armor_3,ship_older_heavy_battery_2,,,,SM_engine_3,ship_fire_control_system_3,,ship_radar_4,ship_dp_Bofors_battery_2,,,,,ship_older_heavy_battery_2,,ship_anti_ship_missile_1,,,ship_older_heavy_battery_2,
kongo_canon_class,Kongo Class,ship_hull_heavy_1,JAP_HISTORICAL_BB,0,,,,,,,5,,,,5,,,5,,ship_anti_air_2,sm_armor_3,ship_heavy_battery_3,,,,SM_engine_3,ship_fire_control_system_3,,ship_radar_3,ship_dp_Bofors_battery_2,,,,,ship_heavy_battery_3,,ship_heavy_battery_3,,,ship_heavy_battery_3,
kongo_cv_class,Kongo Class,ship_hull_carrier_conversion_bb,JAP_HISTORICAL_BB,0,,,,,,,5,,2,,5,,,5,,ship_dp_Bofors_battery_2,sm_armor_3,,flush_deck,ship_armor_carrier_deck_2,,SM_engine_3,,,ship_radar_3,ship_dp_Bofors_battery_2,,,,,,,ship_armor_carrier_deck,,,,
kongo_no_yosan_class,Kongo Class,ship_hull_heavy_1,JAP_HISTORICAL_BB,0,,,,,,,3,,,,5,,,5,,ship_anti_air_missile_0,sm_armor_3,ship_older_heavy_battery_2,,,,SM_engine_3,ship_fire_control_system_3,,ship_radar_4,ship_dp_Bofors_battery_2,,,,,ship_older_heavy_battery_2,,ship_anti_ship_missile_0,,,ship_older_heavy_battery_2,
HON_San_Pedro_Sula_Class,San Pedro Sula Class,ship_hull_submarine_1,,,,,,,,,,,,,,,,,,,,,,,,sub_engine_1,,,,,ship_sonar_1,,,ship_torpedo_sub_1,,,,,,ship_torpedo_sub_1,
HON_Tegucigalpa_Class,Tegucigalpa Class,ship_hull_light_1,HON_HISTORICAL_DD,0,,,,,,,,,,,,,,,,empty,,ship_light_battery_2,,,,SM_engine_2,ship_fire_control_system_1,,ship_radar_2,,,,,ship_torpedo_2,,,ship_torpedo_2,,,ship_depth_charge_1,
SOV_Frunze_Class,Frunze Class,ship_hull_carrier_0,SOV_HISTORICAL_CV,,,,,,,,0,2,0,,,,,0,,ship_old_anti_air_1,sm_armor_3,,flush_deck,ship_armor_carrier_deck,,SM_engine_2,,,ship_radar_1,dp_ship_old_secondaries_1,,,,,ship_old_anti_air_4A,,ship_old_anti_air_4A,,,,
SOV_Sovetsky_Soyuz_Class,Sovetsky Soyuz Class,ship_hull_heavy_2,SOV_HISTORICAL_BB,0,,,,,,,6,,,,5,,,5,,ship_anti_air_2x8,sm_armor_4,ship_heavy_battery_2,,,,SM_engine_4,ship_fire_control_system_4,,ship_radar_4,ship_light_medium_battery_2,,,,,ship_heavy_battery_2,,dp_ship_secondaries_A,ship_light_medium_battery_2,,ship_heavy_battery_2,
ENG_Vanguard_Class,Vanguard Class,ship_hull_heavy_3,ENG_HISTORICAL_BB,1,,,,,,,3,,,,5,,,,,ship_anti_air_missile_2,sm_armor_4,ship_heavy_battery_2,,,,SM_engine_5,ship_fire_control_system_5,,ship_radar_5,ship_anti_air_missile_2,,,,,ship_heavy_battery_2,,ship_mid_battery_4,ship_mid_battery_4,ship_old_anti_air_4Ax8,ship_heavy_battery_2,
SAF_President_Class,President Class,ship_hull_frigate_4,SAF_PROVINCES,,,,,4,0,,,,,4,,,,2,,ship_old_anti_air_3,,ship_ENG_light_battery_4,,,,SM_engine_9,ship_sonar_4,,ship_radar_5,,,,ship_torpedo_3,,ship_anti_submarine_rocket_2,,ship_anti_air_missile_2,,,,
ENG_Queen_Elizabeth_Class,Queen Elizabeth Class,ship_hull_carrier_4,ENG_HISTORICAL_CV,,,,,,,,2,4,4,,,,,0,,ship_anti_air_missile_3,sm_armor_5,,steam_catapult,ship_armor_carrier_deck_2,,SM_engine_8,ship_fire_control_system_6,,ship_radar_7,dp_ship_old_secondaries_1,,,,,empty,,empty,,,ship_anti_air_missile_3,
ALF_Vermont_Class,Vermont Class,ship_hull_super_heavy_3,USA_HISTORICAL_BB,1,,,,,,,6,,,,5,,,2,,ship_dp_light_battery_3x4,sm_armor_4,ship_super_heavy_battery_2,,,,SM_engine_4,ship_fire_control_system_5,,ship_radar_6,ship_jet_airplane_launcher_1,,,,,ship_super_heavy_battery_2,ship_dp_light_battery_3x4,ship_dp_Bofors_battery_3x8,ship_dp_light_battery_3x4,ship_super_heavy_battery_2,ship_anti_air_missile_2,ship_super_heavy_battery_2
GER_Graudenz_class,Graudenz Class,ship_hull_cruiser_4,GER_HISTORICAL_CL,0,,,,,,,4,,,,,,6,4,,ship_dp_Bofors_battery_2,sm_armor_1,ship_GER_light_medium_battery,,,,SM_engine_5,ship_fire_control_system_4,,ship_radar_4,ship_anti_air_missile_1,,,,,ship_GER_light_medium_battery,,ship_light_battery_2,ship_dp_light_battery_2,,ship_light_battery_2,ship_GER_light_medium_battery
GER_Magdeburg_Class,Magdeburg Class,ship_hull_cruiser_4,GER_HISTORICAL_CL,0,,,,,,,5,,,,,,6,8,,ship_dp_Bofors_battery_2,sm_armor_1,ship_GER_light_medium_battery,,,,SM_engine_5,ship_fire_control_system_4,,ship_radar_4,ship_anti_air_missile_1,,,,,ship_GER_light_medium_battery,,ship_dp_Bofors_battery_2,ship_jet_airplane_launcher_2,,ship_jet_airplane_launcher_2,ship_GER_light_medium_battery
GER_Furst_Bismarck_Class,Fürst Bismarck Class,ship_hull_cruiser_4,GER_HISTORICAL_CA,0,,,,,,,8,,,,,,6,4,,ship_dp_Bofors_battery_2,sm_armor_2,ship_medium_battery_2,,,,SM_engine_5,ship_fire_control_system_4,,ship_radar_4,ship_anti_air_missile_1,,,,,ship_medium_battery_2,,ship_light_battery_2,ship_dp_light_battery_2,,ship_light_battery_2,ship_medium_battery_2
GER_Prinz_Adalbert_Class,Prinz Adalbert Class,ship_hull_CB,GER_HISTORICAL_BC,0,,,,,,,8,,,,,,6,4,,ship_dp_Bofors_battery_2,sm_armor_3,ship_GER_heavy_medium_battery_2,,,,SM_engine_5,ship_fire_control_system_4,,ship_radar_4,ship_anti_ship_missile_1,,,,,ship_GER_heavy_medium_battery_2,,ship_anti_air_missile_2,ship_jet_airplane_launcher_2,ship_dp_Bofors_battery_2,ship_GER_heavy_medium_battery_2,ship_GER_heavy_medium_battery_2
GER_Kaiser_Friedrich_III_Class,Kaiser Friedrich III Class,ship_hull_heavy_4,GER_HISTORICAL_BB,0,,,,,,,8,,,,3,,,4,,ship_dp_Bofors_battery_3,sm_armor_3,ship_heavy_battery_2,,,,SM_engine_5,ship_fire_control_system_4,,ship_radar_4,dp_ship_secondaries_2,,,,,ship_heavy_battery_2,,ship_anti_air_missile_2,ship_anti_ship_missile_2,ship_dp_Bofors_battery_2,ship_heavy_battery_2,ship_heavy_battery_2
GER_U_CCI,U-Boot Class CCI,ship_hull_submarine_4,GER_HISTORICAL_SS,0,,,,,,8,5,,,,,,,10,6,,,,,,,sub_engine_4,,,ship_radar_4,,ship_sonar_4,ship_sub_snorkel_2,,ship_torpedo_sub_4,ship_extra_fuel_tank_3,,ship_mine_layer_sub_4,,,ship_torpedo_sub_3,
GER_Arminius_Class,Arminius Class,ship_hull_light_carrier_2,GER_HISTORICAL_CVL,0,,,,,,,2,4,3,,,,,5,,ship_dp_Bofors_battery_2,sm_armor_2,,steam_catapult,ship_dp_Bofors_battery_2,,SM_engine_5,ship_fire_control_system_4,,ship_radar_4,ship_dp_Bofors_battery_2,,,,,ship_dp_Bofors_battery_2,,ship_dp_Bofors_battery_2,ship_dp_Bofors_battery_2,,,
BUL_Sofia_Class,Sofia Class,ship_hull_cruiser_4,,0,,,,,,,3,,,,,,5,6,,ship_dp_Bofors_battery_2,sm_armor_1,ship_USA_light_medium_battery,,,,SM_engine_2,ship_fire_control_system_3,,ship_radar_3,ship_ENG_light_battery_3,,,,,ship_USA_light_medium_battery,,ship_dp_Bofors_battery_2,ship_airplane_launcher_2,,ship_dp_Bofors_battery_2,ship_USA_light_medium_battery
BUL_Burgas_Class,Burgas Class,ship_hull_cruiser_4,,0,,,,,,,5,,,,,,7,6,,ship_dp_Bofors_battery_2,sm_armor_2,ship_USA_light_medium_battery,,,,SM_engine_2,ship_fire_control_system_3,,ship_radar_3,ship_ENG_light_battery_3,,,,,ship_USA_light_medium_battery,,ship_dp_Bofors_battery_2,ship_USA_light_medium_battery,,ship_depth_charge_projection_device_3,ship_USA_light_medium_battery
GER_Koln_class,Köln Class,ship_hull_frigate_3,,0,,,,,,,,,,,,,5,4,,ship_anti_air_3,,ship_light_battery_2,,,,SM_engine_2,ship_fire_control_system_2,,ship_radar_2,,,,ship_torpedo_2,,ship_anti_air_3,,ship_torpedo_2,,,,
GER_Bremen_class,Bremen Class,ship_hull_frigate_4,,0,,,,,,,,,,,,,6,5,,ship_anti_air_3,,ship_light_battery_3,,,,SM_engine_2,ship_fire_control_system_2,,ship_radar_2,,,,ship_torpedo_3,,ship_anti_air_3,,ship_torpedo_2,,,,
JAP_Dai_7_go_Class,Dai 7 go Class,ship_hull_frigate_1,JAP_SOUKAI_HISTORICAL,0,,,,3,3,,,,,3,,,,9,,ship_mine_sweeper_3,,ship_old_light_battery_2,,,,SM_engine_2,ship_fire_control_system_1,,ship_radar_2,,,,ship_depth_charge_2,,ship_old_anti_air_2A,,ship_old_light_battery_2,,,,
JAP_Dai_19_go_Class,Dai 19 go Class,ship_hull_frigate_1,JAP_SOUKAI_HISTORICAL,0,,,,,,,,,,,,,,,,ship_mine_sweeper_3,,ship_old_light_battery_3,,,,SM_engine_2,ship_fire_control_system_1,,ship_radar_2,,,,ship_depth_charge_2,,ship_old_anti_air_2A,,ship_old_light_battery_3,,,,
JAP_Hatsushima_Class,Hatsushima Class,ship_hull_light_1,JAP_MINELAYERS_HISTORICAL,0,,,,,,,,,,,,,,,,ship_old_anti_air_2A,,ship_dp_old_light_battery_1,,,,SM_engine_2,ship_sonar_2,,ship_radar_3,,,,ship_depth_charge_2,ship_mine_sweeper_3,ship_old_anti_air_2A,,ship_depth_charge_projection_device_1,ship_old_anti_air_2A,ship_depth_charge_2,,
JAP_Katsuriki_Class,Katsuriki Class,ship_hull_light_1,JAP_MINELAYERS_HISTORICAL,0,,,,,,,,,,,,,,,,ship_old_anti_air_1,,ship_dp_old_light_battery_1,,,,SM_engine_2,ship_sonar_2,,ship_radar_2,,,,ship_depth_charge_2,ship_mine_sweeper_2,ship_dp_old_light_battery_1,,ship_dp_old_light_battery_1,ship_old_anti_air_1,ship_depth_charge_2,,
JAP_Natsushima_Class,Natsushima Class,ship_hull_frigate_1,JAP_MINELAYERS_HISTORICAL,0,,,,3,3,,,,,3,,,,10,,ship_mine_layer_4,,ship_dp_old_light_battery_1,,,,SM_engine_2,ship_sonar_2,,ship_radar_2,,,,ship_depth_charge_1,,ship_dp_old_light_battery_1,,ship_old_light_battery_3,,,,
JAP_Sokuten_I_Class,Sokuten[I] Class,ship_hull_frigate_1,JAP_MINELAYERS_HISTORICAL,0,,,,,,,,,,,,,,,,ship_mine_layer_3,,ship_dp_old_light_battery_1,,,,SM_engine_2,ship_fire_control_system_1,,ship_radar_2,,,,ship_depth_charge_2,,ship_dp_old_light_battery_1,,ship_mine_layer_3,,,,
JAP_Tsubame_Class,Tsubame Class,ship_hull_frigate_1,JAP_MINELAYERS_HISTORICAL,0,,,,3,2,,,,,2,,,,11,,ship_mine_layer_3,,ship_old_light_battery_2,,,,SM_engine_2,ship_fire_control_system_1,,ship_sonar_2,,,,ship_depth_charge_4,,ship_mine_layer_3,,ship_mine_layer_3,,,,
JAP_Dai_13_go_Class,Dai 13 go Class,ship_hull_light_1,JAP_SOUKAI_HISTORICAL,0,,,,,,,,,,,,,,,,ship_old_anti_air_2A,,ship_old_light_battery_2,,,,SM_engine_2,ship_sonar_1,,ship_radar_2,,,,ship_depth_charge_projection_device_1,ship_mine_sweeper_1,ship_dp_old_light_battery_1,,ship_dp_old_light_battery_1,,,,
JPN_Dai_100_n_go_class,Dai 104 go Class,ship_hull_frigate_1,JAP_SYOUKAI_HISTORICAL,0,,,,,,,,,,,,,,,,ship_old_anti_air_2A,,ship_dp_old_light_battery_1,,,,SM_engine_2,,,ship_old_anti_air_1A,,,,ship_depth_charge_1,,,,,,,,
JPN_Dai_100_n_go_class,Dai 103 go Class,ship_hull_frigate_1,JAP_SYOUKAI_HISTORICAL,0,,,,,,,,,,,,,,,,ship_dp_old_light_battery_1,,ship_dp_old_light_battery_1,,,,SM_engine_2,,,ship_anti_air_1,,,,ship_depth_charge_1,,,,,,,,
JPN_Dai_100_n_go_class,Dai 107 go Class,ship_hull_frigate_1,JAP_SYOUKAI_HISTORICAL,0,,,,,,,,,,,,,,,,ship_old_anti_air_2A,,ship_dp_old_light_battery_1,,,,SM_engine_2,,,ship_light_2,,,,ship_depth_charge_2,,,,,,,,
JPN_Dai_100_n_go_class,Dai 109 go Class,ship_hull_frigate_1,JAP_SYOUKAI_HISTORICAL,0,,,,,,,,,,,,,,,,ship_old_anti_air_2A,,ship_depth_charge_projection_device_1,,,,SM_engine_2,,,ship_light_1,,,,ship_depth_charge_1,,,,,,,,
JAP_Hashidate_class,Hashidate Class,ship_hull_micro_4,JAP_MINELAYERS_HISTORICAL,0,,,,2,3,,,,,10,,,,8,,ship_JAP_light_battery_1,,ship_old_light_battery_2,,,,SM_engine_2,ship_sonar_3,,ship_radar_3,,,,ship_old_anti_air_1,,ship_old_anti_air_1,,ship_old_anti_air_2A,,,ship_old_anti_air_2A,
JAP_Notoro_Class,Notoro Class,ship_hull_cruiser_0_transport_remodeling,JAP_LAKES,0,,,,,,,,,,,,,,,,ship_old_anti_air_2A,sm_armor_ms_1,ship_old_light_battery_2,,,,SM_engine_2,ship_fire_control_system_3,,ship_radar_2,ship_dp_old_light_battery_1,,,,,,,ship_large_airplane_1,,,,
Kai_Shikishima_Class,Kai Shikishima Class,ship_hull_pre_dreadnought_1,JAP_HISTORICAL_BB,,,,,,,,3,,,,5,,,4,,ship_anti_air_1,sm_armor_5,ship_USA_heavy_battery,,,,SM_engine_2,ship_fire_control_system_5,,ship_radar_4,ship_anti_air_1,,,,,ship_short_torpedo_2,,ship_anti_air_1,ship_anti_air_1,,ship_USA_heavy_battery,
Kai_Shikishima_Class_2,Kai Shikishima Class,ship_hull_pre_dreadnought_1,JAP_HISTORICAL_BB,,,,,,,,3,,,,5,,,4,,ship_ciws_1,sm_armor_4,ship_USA_heavy_battery,,,,SM_engine_6,ship_fire_control_system_5,,ship_radar_5,dp_ship_secondaries,,,,,ship_anti_air_4,,ship_anti_air_missile_2,ship_anti_ship_missile_2,,ship_USA_heavy_battery,
