TAG,地域,JP
QEM,Qemant,
KHA,Khakassia,
AOI,Italian East Africa,イタリア領東アフリカ
LBV,Lombardy Venetia,ロンバルディア・ヴェネツィア王国
PAP,Papal States,教皇領
TOS,Tuscany,トスカーナ大公国
SPM,Sardinia Piedmont,サルデーニャ・ピエモンテ
TTS,The Two Sicilies,両シチリア王国
SMI,Sami,サップミ
GRN,Greenland,グリーンランド
RAP,Rapa Nui,ラパ・ヌイ
YUC,Yucatan,ユカタン
RIG,Rio Grande,リオ・グランデ共和国
QUE,Quebec,ケベック
KAT,Katanga,カタンガ
BIA,Biafra,ビアフラ
WLA,Welsh Argentina,イ・ウラドファ
CBV,Cabo Verde,カーボベルデ
BAR,Barotseland,バロツェランド
EVE,Evenkia,エベンキア
SOK,Sokoto,ソコト
THU,Thuringia,テューリンゲン
HES,Hesse,ヘッセン
RHI,Rhineland,ラインラント
UBD,United Baltic Duchy,バルト連合公国
