TAG,地域,JP,capital,LTL,STL,TTL,ATL,NTL,ITL,DID,PID,TL,PS
PPP,Asia,プププ・ランド,847,1,0,1,-,-,-,-,0,1,-
PRC,Asia,漢,622,0,-,-,-,-,-,-,s,-,-
PRK,Asia,北朝鮮,555,1,0,1,-,-,-,-,-,1,-
KOK,Asia,國,614,-,-,-,-,-,-,-,s,-,-
SBR,Asia,シベリア,576,1,0,1,0,-,0,-,-,1,-
SCC,Asia,上海,945,1,0,1,-,-,-,-,m,1,-
SJK,Asia,スリジャヤワルダナプラコッテ,713,1,0,1,-,-,-,-,N,1,-
TBH,Asia,徳川,902,1,0,1,-,-,-,-,0,1,-
TWN,Asia,台湾（タイ）,543,1,-,-,-,-,-,-,-,2,-
SWK,Asia,サラワク,333,-,-,-,-,-,-,-,-,-,-
SUS,Asia,スールー,333,0,-,-,-,-,-,-,n,-,-
HRH,Asia,ハットリバー,1097,-,-,-,-,-,-,-,-,-,-
AST,Commonwealth,オーストラリア,518,2,0,0,2,3,0,a,A,-,-
CAN,Commonwealth,カナダ,471,1,1,-,1,2,-,0,-,1,-
GBR,Commonwealth,イギリス,126,3,2,1,3,4,2,-,-,2,-
NZL,Commonwealth,ニュージーランド,284,1,0,0,-,2,-,-,-,-,-
ZAF,Commonwealth,南アフリカ,275,1,0,0,4,1,0,a,-,-,-
LOM,Commonwealth,マン島,1090,-,-,-,-,-,-,-,-,-,-
GGY,Commonwealth,ガーンジー,1099,-,-,-,-,-,-,-,-,-,M
JEY,Commonwealth,ジャージー,1100,-,-,-,-,-,-,-,-,-,M
GIB,Commonwealth,ジブラルタル,118,-,-,-,-,-,-,-,-,-,-
ALB,Eastern Europe,アルバニア,44,0,0,-,-,-,-,-,n,-,N
BLR,Eastern Europe,ベラルーシ,206,3,2,1,2,3,-,0,-,1,-
BOS,Eastern Europe,ボスニア,104,1,1,1,0,-,-,-,d,1,-
BSK,Eastern Europe,バシコルトスタン,651,3,2,1,2,3,-,0,d,1,-
BUL,Eastern Europe,ブルガリア,48,2,-,-,0,-,0,-,-,-,-
CHU,Eastern Europe,チュヴァシ,256,3,2,1,2,3,-,0,d,1,-
CIN,Eastern Europe,北カフカース,821,3,2,1,2,3,-,0,d,1,-
CRI,Eastern Europe,クリミア,137,3,2,1,1,2,-,0,F,-,-
CRO,Eastern Europe,クロアチア,109,1,1,-,-,2,-,-,N,-,-
CYP,Eastern Europe,キプロス,183,0,-,-,-,-,-,-,d,-,-
DAG,Eastern Europe,ダゲスタン,232,3,2,1,2,3,-,0,d,1,-
DDR,Eastern Europe,東ドイツ,64,2,1,3,4,4,2,1,c,2,-
DNZ,Eastern Europe,ダンツィヒ,85,2,2,2,2,2,-,0,-,1,-
DON,Eastern Europe,ドン,218,1,1,1,0,1,-,-,N,-,-
EST,Eastern Europe,エストニア,812,1,-,-,0,0,-,-,-,1,-
FIN,Eastern Europe,フィンランド,111,2,1,-,1,2,-,-,-,1,-
GRC,Eastern Europe,ギリシャ,47,0,1,-,-,3,1,-,-,1,-
HRZ,Eastern Europe,ヘルツェゴビナ,804,1,1,1,0,2,-,-,N,1,-
HUN,Eastern Europe,ハンガリー,43,1,0,0,1,-,0,-,-,1,-
KAR,Eastern Europe,カレリア,216,3,2,1,2,3,-,0,d,1,-
KBK,Eastern Europe,カバルダ＝バルカル,827,3,2,1,2,3,-,0,d,1,-
KOM,Eastern Europe,コミ,397,3,2,1,2,3,-,0,d,1,-
KSH,Eastern Europe,カシュビア,807,1,0,-,-,-,-,-,d,1,-
KUB,Eastern Europe,クバン,234,-,1,1,-,-,-,-,N,-,-
LAT,Eastern Europe,ラトビア,808,1,-,-,-,-,-,-,-,1,-
LIT,Eastern Europe,リトアニア,11,1,-,-,-,-,-,-,-,1,-
MEL,Eastern Europe,マリ・エル,833,3,2,1,2,3,-,0,d,1,-
MNT,Eastern Europe,モンテネグロ,105,1,0,1,-,-,-,-,N,1,-
NOA,Eastern Europe,北オセチア,828,3,2,1,2,3,-,0,d,1,-
OVO,Eastern Europe,ユグラ,580,3,2,1,2,3,-,0,d,-,-
POL,Eastern Europe,パーティション,847,2,0,0,1,-,-,-,-,1,-
PRE,Eastern Europe,プロイセン,64,2,1,3,4,0,2,1,N,1,-
RDM,Eastern Europe,モルダヴィア,78,-,0,-,-,-,-,-,-,1,-
ROM,Eastern Europe,ルーマニア,46,-,0,1,-,-,-,-,-,1,-
RUS,Eastern Europe,ロシア,219,3,2,1,-,-,-,-,m,1,-
SAX,Eastern Europe,ザクセン,65,2,1,3,4,0,2,1,N,1,-
SER,Eastern Europe,セルビア,107,1,0,1,0,-,0,-,N,1,-
SIL,Eastern Europe,シレジア,66,1,0,-,-,-,-,-,d,1,-
SLO,Eastern Europe,スロバキア,70,-,-,1,1,-,-,-,-,-,-
SLV,Eastern Europe,スロベニア,102,-,0,-,-,-,-,-,N,1,-
SOV,Eastern Europe,ソビエト,408,2,2,1,S,B,2,1,-,1,-
TAT,Eastern Europe,タタールスタン,249,3,2,1,2,3,-,0,d,1,-
TAY,Eastern Europe,タイミル,516,3,2,1,2,3,-,0,d,-,-
TRA,Eastern Europe,トランシルバニア,84,-,1,1,-,-,-,-,d,1,-
UDM,Eastern Europe,ウドムルト,399,3,2,1,2,3,-,0,d,1,-
UKR,Eastern Europe,ウクライナ,202,3,2,1,2,3,-,0,-,1,-
VGE,Eastern Europe,ヴォルガ,829,3,2,1,2,3,-,0,d,1,-
ROR,Eastern Europe,ラグサ,1088,-,-,-,-,-,-,-,-,-,-
POC,Eastern Europe,ラグサ,1089,-,-,-,-,-,-,-,-,-,-
FIS,Eastern Europe,フェロー,337,-,-,-,-,-,-,-,-,-,-
BTB,Eastern Europe,バトル,204,3,2,1,2,3,-,0,c,1,-
BTG,Eastern Europe,バトル,204,3,2,1,2,3,-,0,-,1,-
BTL,Eastern Europe,バトル,202,3,2,1,2,3,-,0,d,1,-
BTP,Eastern Europe,バトル,96,3,2,1,2,3,-,0,m,1,-
BTW,Eastern Europe,バトル,202,3,2,1,2,3,-,0,0,1,-
BTY,Eastern Europe,バトル,204,3,2,1,2,3,-,0,-,1,-
DPK,Eastern Europe,トランスニストリア,805,2,0,1,-,-,2,0,M,2,M
MOS,Eastern Europe,モスクワ,408,1,0,1,S,B,0,-,m,2,-
MYS,Eastern Europe,謎,107,-,0,-,-,-,-,-,-,1,-
GOC,Eastern Europe,アトス,1102,-,-,-,-,-,-,-,-,-,-
ABK,Middle East,アブハジア,826,3,2,1,2,4,-,0,d,1,-
ARM,Middle East,アルメニア,230,3,2,1,2,3,-,0,-,1,-
AZR,Middle East,アゼルバイジャン,229,3,2,-,2,3,-,0,-,1,-
GEO,Middle East,グルジア,231,3,2,1,2,3,-,0,-,1,-
IRN,Middle East,イラン,421,0,-,0,-,-,0,-,d,-,-
IRQ,Middle East,イラク,291,1,-,-,1,-,-,-,n,-,-
ISR,Middle East,イスラエル,231,0,-,0,-,-,0,-,N,-,-
JOR,Middle East,ヨルダン,455,0,-,0,-,-,-,-,n,-,-
KUR,Middle East,クルディスタン,800,1,-,-,-,-,-,-,-,-,-
KUW,Middle East,クウェート,656,0,-,-,-,-,-,-,d,-,-
LEB,Middle East,レバノン,553,-,-,-,-,-,-,-,d,-,-
OMA,Middle East,オマーン,294,0,-,-,-,-,-,-,n,-,N
PSE,Middle East,パレスチナ,328,0,-,-,-,-,-,-,F,-,-
QAT,Middle East,カタール,658,0,-,-,-,-,-,-,d,-,-
SAU,Middle East,サウジアラビア,292,-,-,-,-,-,-,-,n,-,N
SYR,Middle East,シリア,554,-,-,-,-,-,-,-,d,-,-
TUR,Middle East,トルコ,49,1,-,1,1,-,-,-,-,1,-
UAE,Middle East,トルーシャル・オマーン,690,0,-,-,-,-,-,-,n,-,-
YEM,Middle East,イエメン,293,0,-,-,-,-,-,-,n,-,N
ARG,South America,アルゼンチーナ,278,0,-,-,-,-,-,-,S,-,-
BAH,South America,バハマ,690,0,-,-,-,-,-,-,d,-,-
BAS,South America,西インド諸島,692,0,-,-,-,-,-,-,d,-,-
BLZ,South America,ベリーズ,311,0,-,-,-,-,-,-,d,-,-
BOL,South America,ボリビア,302,0,0,-,0,-,0,-,-,-,N
BRA,South America,ブラジル,500,2,0,0,0,3,-,-,N,-,N
CAY,South America,カイエンヌ,310,0,-,-,-,-,-,-,d,-,-
CHL,South America,チリ,279,0,-,-,1,3,-,-,-,1,-
COL,South America,コロンビア,306,1,0,-,1,1,-,-,-,-,-
COS,South America,コスタリカ,316,0,-,-,-,-,-,-,-,-,-
CRC,South America,キュラソー,695,0,-,-,-,-,-,-,d,-,-
CUB,South America,キューバ,865,2,1,-,4,-,2,-,-,-,-
DOM,South America,ドミニカ,319,0,-,-,-,-,-,-,-,-,-
ECU,South America,エクアドル,649,0,-,-,-,-,-,-,1,-,-
ELS,South America,エルサルバドル,314,0,-,-,0,-,-,-,-,-,-
GDR,South America,グアドループ,330,0,-,-,-,-,-,-,C,-,-
GUA,South America,グアテマラ,313,0,-,-,0,-,-,-,-,-,-
GYA,South America,ガイアナ,687,0,-,-,-,-,-,-,d,-,-
HAI,South America,ハイチ,318,0,-,-,-,-,-,-,-,-,-
HON,South America,ホンジュラス,312,0,-,-,-,-,-,-,-,-,-
JAM,South America,ジャマイカ,689,0,-,-,-,-,-,-,d,-,-
MEX,South America,メキシコ,992,0,-,-,-,-,-,-,N,-,-
NIC,South America,ニカラグア,317,-,-,-,-,-,-,-,-,-,-
PAN,South America,パナマ,304,0,-,-,-,-,-,-,-,-,-
PAR,South America,パラグアイ,301,-,-,-,-,-,-,-,c,-,-
PRU,South America,ペルー,303,0,-,-,-,-,-,-,-,-,-
PUE,South America,プエルトリコ,686,0,-,-,-,-,-,-,d,-,-
SUR,South America,スリナム,309,0,-,-,-,-,-,-,d,-,-
TRI,South America,トリニダード,691,0,-,-,-,-,-,-,d,-,-
URG,South America,ウルグアイ,300,0,-,-,-,-,-,-,-,-,-
VEN,South America,ベネズエラ,307,-,-,-,-,-,-,-,F,-,-
AMA,South America,アマゾン,540,0,-,-,-,-,-,-,1,-,-
INK,South America,インカ,303,0,-,-,2,2,-,-,-,-,-
RED,South America,レドンダ,1004,1,0,1,-,-,-,-,M,2,M
SAM,South America,南アメリカ,304,1,0,1,-,-,-,-,-,1,-
ADU,Western Europe,アンダルシア,789,1,1,-,1,-,-,-,n,-,-
AUS,Western Europe,エミュー,521,1,1,-,0,-,-,-,n,1,-
BAY,Western Europe,バイエルン,52,2,1,3,4,0,2,1,N,1,-
BEL,Western Europe,ベルギー,6,1,2,-,1,-,1,-,b,1,-
BRI,Western Europe,ブルターニュ,14,1,1,-,4,-,1,a,N,1,-
CAT,Western Europe,カタルーニャ,165,1,1,-,1,-,-,-,d,-,-
COR,Western Europe,コルシカ,1,2,1,2,-,4,1,1,d,1,-
CSA,Western Europe,ディキシーランド,361,2,1,0,3,2,-,1,-,1,-
CZE,Western Europe,チェコ,9,1,1,2,1,-,1,0,-,-,-
DEN,Western Europe,デンマーク,37,1,1,-,1,-,-,-,-,1,-
DEU,Western Europe,ドイツ,64,2,1,3,4,-,2,-,-,2,-
ESP,Western Europe,スペイン,307,2,1,-,1,3,-,-,-,1,-
FRA,Western Europe,フランス,16,1,0,-,-,-,-,-,M,2,-
GLC,Western Europe,ガリシア,171,1,1,-,1,-,-,-,d,-,-
HAN,Western Europe,ハノーファー,59,2,1,3,4,0,2,1,N,1,-
HOL,Western Europe,ホラント,7,-,-,-,-,-,-,-,-,1,-
IRE,Western Europe,アイルランド,113,1,-,-,-,-,0,-,-,1,-
ISL,Western Europe,アイスランド,100,1,-,-,-,-,-,-,-,1,-
ITA,Western Europe,イタリア,2,1,0,1,-,-,-,-,-,2,-
LUX,Western Europe,ルクセンブルク,8,1,-,-,-,-,-,-,-,-,-
MEK,Western Europe,メクレンブルク,61,2,1,3,4,0,2,1,N,1,-
MLT,Western Europe,マルタ,116,0,-,-,-,-,-,-,1,-,-
NAV,Western Europe,ナバラ,792,1,1,-,1,-,-,-,d,-,-
NIR,Western Europe,北アイルランド,119,1,-,-,-,-,-,-,-,1,-
NOR,Western Europe,ノルウェイ,923,1,-,-,-,-,-,-,-,1,-
OCC,Western Europe,オクシタニア,31,1,0,-,-,-,-,-,d,1,-
PRT,Western Europe,ポルトガル,321,2,0,-,1,B,-,-,-,1,-
RSK,Western Europe,両シチリア,117,1,0,1,-,-,-,-,M,2,M
SCO,Western Europe,スコットランド,121,0,-,-,-,-,-,-,d,-,-
SHL,Western Europe,シュレースヴィヒ,58,2,1,3,4,0,2,1,N,1,-
SRV,Western Europe,ヴェネツィア,1004,1,0,1,-,-,-,-,M,2,M
SWE,Western Europe,スウェーデン,141,1,-,1,-,-,-,-,-,1,-
SWI,Western Europe,スイス,3,1,1,-,1,-,0,-,-,1,-
TOS,Western Europe,トスカーナ,162,1,0,1,-,-,-,-,M,2,M
USA,Western Europe,アメリカ,361,2,0,0,3,-,-,-,-,2,-
USB,Western Europe,アメリカ,361,2,0,0,3,-,-,-,-,1,-
WGR,Western Europe,西ドイツ,64,2,1,3,4,-,-,-,d,2,-
WLS,Western Europe,ウェールズ,122,-,-,-,-,-,-,-,d,-,-
WUR,Western Europe,ヴュルテンベルク,50,2,1,3,4,0,2,1,N,1,-
ADR,Western Europe,アンドラ,925,0,-,-,-,-,-,-,1,-,-
ATL,Western Europe,アトランティス,710,1,0,-,-,1,-,-,0,4,-
BLX,Western Europe,ベネルクス,7,1,0,-,1,B,1,0,M,1,M
CLF,Western Europe,カリフォルニア,388,1,0,1,-,1,-,-,N,1,-
DIS,Western Europe,ディズニーランド,318,0,-,-,-,-,-,-,N,-,-
EUR,Western Europe,ヨーロッパ,139,2,0,2,3,4,2,0,1,-,-
GAT,Western Europe,ガトランチス,859,2,1,1,1,1,-,0,-,-,-
GRL,Western Europe,グリーンランド,101,-,-,-,-,-,-,-,-,-,-
HLW,Western Europe,ハリウッド,104,1,0,1,-,2,-,-,N,1,-
KAL,Western Europe,カリオストロ,859,1,0,1,-,-,-,-,N,1,-
LIH,Western Europe,リヒテンシュタイン,859,0,-,-,-,-,-,-,1,-,-
LON,Western Europe,ロンドン,113,0,-,-,-,-,-,-,-,-,-
LVE,Western Europe,ラスベガス,380,1,0,1,-,-,-,-,-,1,-
MAC,Western Europe,マクドナルド,106,1,0,1,-,-,-,-,N,1,-
MCO,Western Europe,モナコ,927,1,0,1,-,-,-,-,-,-,-
NEV,Western Europe,ネバーランド,373,1,0,1,-,-,-,-,N,3,-
NKA,Western Europe,ノキア,141,1,-,1,-,-,-,-,-,1,-
NMR,Western Europe,モレネ,1003,-,-,-,-,-,-,-,-,-,-
NMX,Western Europe,ニューメキシコ,840,1,0,1,-,-,-,-,-,1,-
NPL,Western Europe,北極大陸,1000,1,0,1,0,-,0,-,N,-,-
NYY,Western Europe,ニューヨークヤンキース,804,1,0,1,-,-,-,-,N,1,-
OZY,Western Europe,オージー,4,1,1,-,0,-,-,-,-,1,-
PAL,Western Europe,パリ,112,2,0,-,1,B,-,-,-,1,-
PEG,Western Europe,ペンギン,914,1,0,1,-,-,-,-,-,3,-
POS,Western Europe,シーランド,857,1,0,1,-,-,-,-,-,1,-
SAN,Western Europe,サンマリノ,858,1,-,-,-,-,-,-,-,2,-
SPL,Western Europe,南極大陸,919,3,2,1,2,B,-,0,-,3,-
TEX,Western Europe,テキサス,375,1,0,1,-,-,-,-,N,1,-
TLM,Western Europe,トルメキア,337,1,0,1,-,-,-,-,N,1,-
UTP,Western Europe,ユートピア,635,1,0,1,-,-,-,-,N,1,-
VAT,Western Europe,バチカン,922,1,0,1,-,-,-,-,-,1,-
RAL,Western Europe,アルザス=ロレーヌ,28,-,-,-,-,-,-,-,-,-,-
